architecture,method,block,B
TinyCNN,contrast,4000,0.3995845536504648
TinyCNN,contrast,4001,0.44514339182006013
TinyCNN,contrast,4002,0.30879256638277086
TinyCNN,contrast,4003,0.5076894206646663
TinyCNN,contrast,4004,0.1660130390778921
TinyCNN,contrast,4005,0.27765873728028173
TinyCNN,contrast,4006,0.29648759463588825
TinyCNN,contrast,4007,0.27856406647527376
TinyCNN,contrast,4008,0.255071071434721
TinyCNN,contrast,4009,0.4493668011798008
TinyCNN,contrast,4010,0.15948044392135735
TinyCNN,contrast,4011,0.36121073589936564
TinyCNN,contrast,4012,0.48432802038724854
TinyCNN,contrast,4013,0.25731701003449303
TinyCNN,contrast,4014,0.22119147800541356
TinyCNN,contrast,4015,0.38762855771227855
TinyCNN,contrast,4016,0.30675513957902745
TinyCNN,contrast,4017,0.31341837917092263
TinyCNN,contrast,4018,0.5985842040292844
TinyCNN,contrast,4019,0.1452409667813827
TinyCNN,auroc,4000,0.19833438815275772
TinyCNN,auroc,4001,0.44070138800385644
TinyCNN,auroc,4002,0.3714822023468203
TinyCNN,auroc,4003,0.3883059708337599
TinyCNN,auroc,4004,0.4323084822320644
TinyCNN,auroc,4005,0.1677945431002752
TinyCNN,auroc,4006,0.361065989007377
TinyCNN,auroc,4007,0.34680852563356346
TinyCNN,auroc,4008,0.37055069995449286
TinyCNN,auroc,4009,0.23986195571641616
TinyCNN,auroc,4010,0.1356187596359486
TinyCNN,auroc,4011,0.36121073589936564
TinyCNN,auroc,4012,0.4839334082576083
TinyCNN,auroc,4013,0.23323508131904508
TinyCNN,auroc,4014,0.09785254870465687
TinyCNN,auroc,4015,0.18321903389551863
TinyCNN,auroc,4016,0.23849499610367675
TinyCNN,auroc,4017,0.3246876701438612
TinyCNN,auroc,4018,0.38085314685532257
TinyCNN,auroc,4019,0.24651847473716587
TinyCNN,validation_patch,4000,0.14166043556915792
TinyCNN,validation_patch,4001,0.2890235671936096
TinyCNN,validation_patch,4002,0.26369285741642645
TinyCNN,validation_patch,4003,0.3219640814520589
TinyCNN,validation_patch,4004,0.1598195762891304
TinyCNN,validation_patch,4005,0.20603126375193143
TinyCNN,validation_patch,4006,0.31688316127688093
TinyCNN,validation_patch,4007,0.2643345370031716
TinyCNN,validation_patch,4008,0.23225604238331132
TinyCNN,validation_patch,4009,0.22160342825571977
TinyCNN,validation_patch,4010,0.20035173399396
TinyCNN,validation_patch,4011,0.2539013590926638
TinyCNN,validation_patch,4012,0.18472839597211094
TinyCNN,validation_patch,4013,0.22490360635389517
TinyCNN,validation_patch,4014,0.19454744754872305
TinyCNN,validation_patch,4015,0.25721921558353816
TinyCNN,validation_patch,4016,0.1988560126258126
TinyCNN,validation_patch,4017,0.23413905606958485
TinyCNN,validation_patch,4018,0.31475521930677597
TinyCNN,validation_patch,4019,0.12929682871657616
TwoLayerCNN,contrast,4000,-0.10392207730675468
TwoLayerCNN,contrast,4001,-0.0009038279867578658
TwoLayerCNN,contrast,4002,-0.05794412767058804
TwoLayerCNN,contrast,4003,-0.0049462497515049275
TwoLayerCNN,contrast,4004,-0.05539936391356942
TwoLayerCNN,contrast,4005,-0.03500680393335759
TwoLayerCNN,contrast,4006,-0.024681569097137035
TwoLayerCNN,contrast,4007,0.014512075179080097
TwoLayerCNN,contrast,4008,-0.17566415168439636
TwoLayerCNN,contrast,4009,-0.022683483867899923
TwoLayerCNN,contrast,4010,-0.034329763976902294
TwoLayerCNN,contrast,4011,-0.1314507054859364
TwoLayerCNN,contrast,4012,0.0588313177296812
TwoLayerCNN,contrast,4013,0.035581631452550444
TwoLayerCNN,contrast,4014,0.010434791323647108
TwoLayerCNN,contrast,4015,-0.07038818489023713
TwoLayerCNN,contrast,4016,-0.14581194086185828
TwoLayerCNN,contrast,4017,-0.036780979115296375
TwoLayerCNN,contrast,4018,-0.05081905746630461
TwoLayerCNN,contrast,4019,-0.006365113731877037
TwoLayerCNN,auroc,4000,-0.0804969430671369
TwoLayerCNN,auroc,4001,0.028175782634486335
TwoLayerCNN,auroc,4002,-0.005226802336394776
TwoLayerCNN,auroc,4003,0.019759012946793664
TwoLayerCNN,auroc,4004,-0.00865999404287171
TwoLayerCNN,auroc,4005,-0.014993537468192653
TwoLayerCNN,auroc,4006,-0.04614820177795309
TwoLayerCNN,auroc,4007,0.011005022957525867
TwoLayerCNN,auroc,4008,-0.18864731962789322
TwoLayerCNN,auroc,4009,-0.03340643866773679
TwoLayerCNN,auroc,4010,-0.06397570326002788
TwoLayerCNN,auroc,4011,-0.11683554265008678
TwoLayerCNN,auroc,4012,0.05239499707045503
TwoLayerCNN,auroc,4013,0.03236857925424347
TwoLayerCNN,auroc,4014,0.016319804777325253
TwoLayerCNN,auroc,4015,-0.058145461198006954
TwoLayerCNN,auroc,4016,-0.06172210980565801
TwoLayerCNN,auroc,4017,-0.019049564154402454
TwoLayerCNN,auroc,4018,-0.047958668146348415
TwoLayerCNN,auroc,4019,-0.050647069264700695
TwoLayerCNN,validation_patch,4000,0.011696074312582572
TwoLayerCNN,validation_patch,4001,0.05164883674082066
TwoLayerCNN,validation_patch,4002,0.04112050747986057
TwoLayerCNN,validation_patch,4003,0.043513495738921826
TwoLayerCNN,validation_patch,4004,-0.0698062237710001
TwoLayerCNN,validation_patch,4005,-0.056016938317201836
TwoLayerCNN,validation_patch,4006,0.0707345093151428
TwoLayerCNN,validation_patch,4007,0.03717573313638922
TwoLayerCNN,validation_patch,4008,0.03892918655835731
TwoLayerCNN,validation_patch,4009,0.05960751390688074
TwoLayerCNN,validation_patch,4010,0.08466702790920289
TwoLayerCNN,validation_patch,4011,-0.003121560641264509
TwoLayerCNN,validation_patch,4012,0.009835848349691478
TwoLayerCNN,validation_patch,4013,-0.0019178959875527646
TwoLayerCNN,validation_patch,4014,-0.028033363808431133
TwoLayerCNN,validation_patch,4015,-0.04133882457761223
TwoLayerCNN,validation_patch,4016,-0.05606438371860106
TwoLayerCNN,validation_patch,4017,0.045312104266026165
TwoLayerCNN,validation_patch,4018,0.0132934687089023
TwoLayerCNN,validation_patch,4019,-0.018884125395949303
