task,architecture,block,condition,epoch,concept,control,k,selected_channels,control_channels,selected_energy,control_energy,relative_energy_error,energy_ratio,method
two_concepts,TinyCNN,4000,template_release,200,0,0,1,[12],[5],14060.52734375,14313.1494140625,0.017966756447779477,1.0179667564477795,contrast
two_concepts,TinyCNN,4000,template_release,200,0,1,1,[12],[6],14060.52734375,11624.4482421875,0.17325659571689916,0.8267434042831007,contrast
two_concepts,TinyCNN,4000,template_release,200,0,2,1,[12],[7],14060.52734375,11449.90625,0.18567021207141554,0.8143297879285843,contrast
two_concepts,TinyCNN,4000,template_release,200,0,3,1,[12],[2],14060.52734375,10409.1572265625,0.25968941476512675,0.7403105852348731,contrast
two_concepts,TinyCNN,4000,template_release,200,0,4,1,[12],[1],14060.52734375,10139.6767578125,0.2788551588486718,0.721144841151328,contrast
two_concepts,TinyCNN,4000,template_release,200,0,5,1,[12],[14],14060.52734375,18038.33203125,0.2829057965075656,1.2829057965075654,contrast
two_concepts,TinyCNN,4000,template_release,200,0,6,1,[12],[8],14060.52734375,18059.5234375,0.28441295237248554,1.2844129523724854,contrast
two_concepts,TinyCNN,4000,template_release,200,0,7,1,[12],[4],14060.52734375,19342.6796875,0.3756724207145724,1.3756724207145723,contrast
two_concepts,TinyCNN,4000,template_release,200,1,0,1,[6],[2],26747.041015625,26840.59375,0.003497685382108199,1.0034976853821083,contrast
two_concepts,TinyCNN,4000,template_release,200,1,1,1,[6],[1],26747.041015625,24413.630859375,0.08723993636854543,0.9127600636314546,contrast
two_concepts,TinyCNN,4000,template_release,200,1,2,1,[6],[13],26747.041015625,23642.205078125,0.11608147367352624,0.8839185263264737,contrast
two_concepts,TinyCNN,4000,template_release,200,1,3,1,[6],[8],26747.041015625,23107.009765625,0.13609098845265083,0.8639090115473491,contrast
two_concepts,TinyCNN,4000,template_release,200,1,4,1,[6],[14],26747.041015625,21708.44921875,0.18837940966746833,0.8116205903325316,contrast
two_concepts,TinyCNN,4000,template_release,200,1,5,1,[6],[0],26747.041015625,21191.875,0.20769273178217362,0.7923072682178264,contrast
two_concepts,TinyCNN,4000,template_release,200,1,6,1,[6],[4],26747.041015625,32849.0,0.22813585176806575,1.2281358517680658,contrast
two_concepts,TinyCNN,4000,template_release,200,1,7,1,[6],[3],26747.041015625,35846.70703125,0.3402120634693455,1.3402120634693455,contrast
two_concepts,TinyCNN,4000,template_release,200,0,0,1,[12],[5],14060.52734375,14313.1494140625,0.017966756447779477,1.0179667564477795,auroc
two_concepts,TinyCNN,4000,template_release,200,0,1,1,[12],[6],14060.52734375,11624.4482421875,0.17325659571689916,0.8267434042831007,auroc
two_concepts,TinyCNN,4000,template_release,200,0,2,1,[12],[7],14060.52734375,11449.90625,0.18567021207141554,0.8143297879285843,auroc
two_concepts,TinyCNN,4000,template_release,200,0,3,1,[12],[2],14060.52734375,10409.1572265625,0.25968941476512675,0.7403105852348731,auroc
two_concepts,TinyCNN,4000,template_release,200,0,4,1,[12],[1],14060.52734375,10139.6767578125,0.2788551588486718,0.721144841151328,auroc
two_concepts,TinyCNN,4000,template_release,200,0,5,1,[12],[14],14060.52734375,18038.33203125,0.2829057965075656,1.2829057965075654,auroc
two_concepts,TinyCNN,4000,template_release,200,0,6,1,[12],[8],14060.52734375,18059.5234375,0.28441295237248554,1.2844129523724854,auroc
two_concepts,TinyCNN,4000,template_release,200,0,7,1,[12],[4],14060.52734375,19342.6796875,0.3756724207145724,1.3756724207145723,auroc
two_concepts,TinyCNN,4000,template_release,200,1,0,1,[15],[5],71929.0078125,44681.18359375,0.37881551612359105,0.6211844838764089,auroc
two_concepts,TinyCNN,4000,template_release,200,1,1,1,[15],[3],71929.0078125,35846.70703125,0.5016376824675111,0.4983623175324889,auroc
two_concepts,TinyCNN,4000,template_release,200,1,2,1,[15],[4],71929.0078125,32849.0,0.5433135949041769,0.4566864050958231,auroc
two_concepts,TinyCNN,4000,template_release,200,1,3,1,[15],[2],71929.0078125,26840.59375,0.6268460449229835,0.3731539550770166,auroc
two_concepts,TinyCNN,4000,template_release,200,1,4,1,[15],[6],71929.0078125,26747.041015625,0.6281466708765467,0.3718533291234532,auroc
