architecture,method,k,metric,n,mean,sd,ci_low,ci_high
TinyCNN,contrast,1,fidelity,20,-0.3459066147925973,0.1226612973759564,-0.4033138690747028,-0.28849936051049185
TinyCNN,contrast,2,fidelity,20,-0.33168000690263877,0.16341619383741918,-0.40816113986086106,-0.2551988739444165
TinyCNN,contrast,4,fidelity,20,-0.022144806110045306,0.04327748259217204,-0.042399291436769106,-0.0018903207833215058
TinyCNN,contrast,8,fidelity,20,0.006510802227068596,0.005907212112736163,0.0037461418565298216,0.009275462597607372
TinyCNN,auroc,1,fidelity,20,-0.303968452182259,0.13287706157932583,-0.3661568312841303,-0.2417800730803877
TinyCNN,auroc,2,fidelity,20,-0.3236541278147411,0.1605326513777165,-0.398785721360299,-0.24852253426918325
TinyCNN,auroc,4,fidelity,20,-0.03318482715952039,0.07782160819629975,-0.06960646092615518,0.0032368066071143953
TinyCNN,auroc,8,fidelity,20,0.005846047215875611,0.007039236189294556,0.0025515832690933024,0.009140511162657919
TinyCNN,validation_patch,1,fidelity,20,-0.28559667903243147,0.07168535415586949,-0.31914645750669246,-0.2520469005581705
TinyCNN,validation_patch,2,fidelity,20,-0.17333095573073493,0.07146164151231325,-0.2067760334649133,-0.13988587799655655
TinyCNN,validation_patch,4,fidelity,20,-0.005192605080777091,0.03207030701310167,-0.020201970781218458,0.009816760619664274
TinyCNN,validation_patch,8,fidelity,20,0.007261752903114649,0.005514301732620711,0.004680980250901832,0.009842525555327466
TwoLayerCNN,contrast,1,fidelity,20,-0.011695980438240567,0.018136916798097254,-0.02018431878778952,-0.0032076420886916115
TwoLayerCNN,contrast,2,fidelity,20,-0.0378239351133827,0.024585067959518085,-0.04933010110124994,-0.02631776912551546
TwoLayerCNN,contrast,4,fidelity,20,-0.1312776398267597,0.07102108713963988,-0.16451653176771563,-0.09803874788580375
TwoLayerCNN,contrast,8,fidelity,20,-0.0020160342304054945,0.10100322465335658,-0.04928699846304396,0.045254930002232976
TwoLayerCNN,auroc,1,fidelity,20,-0.01410456238849776,0.01780432754275608,-0.022437244175126575,-0.005771880601868945
TwoLayerCNN,auroc,2,fidelity,20,-0.043799567793329594,0.027098011657679607,-0.05648182763445858,-0.03111730795220061
TwoLayerCNN,auroc,4,fidelity,20,-0.1319345152735751,0.06297966266657047,-0.16140990471299688,-0.10245912583415336
TwoLayerCNN,auroc,8,fidelity,20,0.010441369509089693,0.10822034963849736,-0.04020731318952781,0.0610900522077072
TwoLayerCNN,validation_patch,1,fidelity,20,-0.025565980662965126,0.0265630533600533,-0.03799787231397112,-0.013134089011959128
TwoLayerCNN,validation_patch,2,fidelity,20,-0.07602425929479228,0.06143266402928902,-0.10477563108525434,-0.04727288750433024
TwoLayerCNN,validation_patch,4,fidelity,20,-0.08831548700616057,0.11061811184551186,-0.14008635696083008,-0.036544617051491056
TwoLayerCNN,validation_patch,8,fidelity,20,0.00996034606891973,0.024448337552286103,-0.001481828118567282,0.02140252025640674
