task,architecture,block,condition,epoch,full_patch_max_error,noop_max_error,test_acc
two_concepts,TinyCNN,4000,template_release,200,0.0,0.0,0.99609375
two_concepts,TinyCNN,4000,template_retention_1,200,0.0,0.0,0.9765625
two_concepts,TinyCNN,4001,template_release,200,0.0,0.0,1.0
two_concepts,TinyCNN,4001,template_retention_1,200,0.0,0.0,0.99609375
two_concepts,TinyCNN,4002,template_release,200,0.0,0.0,1.0
two_concepts,TinyCNN,4002,template_retention_1,200,0.0,0.0,0.98046875
two_concepts,TinyCNN,4003,template_release,200,0.0,0.0,0.97265625
two_concepts,TinyCNN,4003,template_retention_1,200,0.0,0.0,0.96484375
two_concepts,TinyCNN,4004,template_release,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4004,template_retention_1,200,0.0,0.0,0.9609375
two_concepts,TinyCNN,4005,template_release,200,0.0,0.0,1.0
two_concepts,TinyCNN,4005,template_retention_1,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4006,template_release,200,0.0,0.0,0.99609375
two_concepts,TinyCNN,4006,template_retention_1,200,0.0,0.0,0.97265625
two_concepts,TinyCNN,4007,template_release,200,0.0,0.0,1.0
two_concepts,TinyCNN,4007,template_retention_1,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4008,template_release,200,0.0,0.0,1.0
two_concepts,TinyCNN,4008,template_retention_1,200,0.0,0.0,0.98046875
two_concepts,TinyCNN,4009,template_release,200,0.0,0.0,1.0
two_concepts,TinyCNN,4009,template_retention_1,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4010,template_release,200,0.0,0.0,1.0
two_concepts,TinyCNN,4010,template_retention_1,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4011,template_release,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4011,template_retention_1,200,0.0,0.0,0.97265625
two_concepts,TinyCNN,4012,template_release,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4012,template_retention_1,200,0.0,0.0,0.96875
two_concepts,TinyCNN,4013,template_release,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4013,template_retention_1,200,0.0,0.0,0.97265625
two_concepts,TinyCNN,4014,template_release,200,0.0,0.0,0.98828125
two_concepts,TinyCNN,4014,template_retention_1,200,0.0,0.0,0.984375
two_concepts,TinyCNN,4015,template_release,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4015,template_retention_1,200,0.0,0.0,0.984375
two_concepts,TinyCNN,4016,template_release,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4016,template_retention_1,200,0.0,0.0,0.9921875
two_concepts,TinyCNN,4017,template_release,200,0.0,0.0,0.9765625
two_concepts,TinyCNN,4017,template_retention_1,200,0.0,0.0,0.9765625
two_concepts,TinyCNN,4018,template_release,200,0.0,0.0,0.99609375
two_concepts,TinyCNN,4018,template_retention_1,200,0.0,0.0,0.96875
two_concepts,TinyCNN,4019,template_release,200,0.0,0.0,0.99609375
two_concepts,TinyCNN,4019,template_retention_1,200,0.0,0.0,0.97265625
two_concepts,TwoLayerCNN,4000,template_release,200,0.0,0.0,1.0
two_concepts,TwoLayerCNN,4000,template_retention_1,200,0.0,0.0,0.9921875
two_concepts,TwoLayerCNN,4001,template_release,200,0.0,0.0,1.0
two_concepts,TwoLayerCNN,4001,template_retention_1,200,0.0,0.0,0.984375
two_concepts,TwoLayerCNN,4002,template_release,200,0.0,0.0,1.0
two_concepts,TwoLayerCNN,4002,template_retention_1,200,0.0,0.0,1.0
two_concepts,TwoLayerCNN,4003,template_release,200,0.0,0.0,0.9921875
two_concepts,TwoLayerCNN,4003,template_retention_1,200,0.0,0.0,0.9921875
two_concepts,TwoLayerCNN,4004,template_release,200,0.0,0.0,1.0
two_concepts,TwoLayerCNN,4004,template_retention_1,200,0.0,0.0,0.9921875
two_concepts,TwoLayerCNN,4005,template_release,200,0.0,0.0,1.0
two_concepts,TwoLayerCNN,4005,template_retention_1,200,0.0,0.0,0.99609375
two_concepts,TwoLayerCNN,4006,template_release,200,0.0,0.0,0.9921875
two_concepts,TwoLayerCNN,4006,template_retention_1,200,0.0,0.0,0.98046875
two_concepts,TwoLayerCNN,4007,template_release,200,0.0,0.0,1.0
two_concepts,TwoLayerCNN,4007,template_retention_1,200,0.0,0.0,1.0
two_concepts,TwoLayerCNN,4008,template_release,200,0.0,0.0,0.9921875
two_concepts,TwoLayerCNN,4008,template_retention_1,200,0.0,0.0,0.9921875
