architecture,method,k,metric,block,delta
TinyCNN,contrast,1,fidelity,4000,-0.5193299574087378
TinyCNN,contrast,1,fidelity,4001,-0.36201976695652216
TinyCNN,contrast,1,fidelity,4002,-0.3448208986334448
TinyCNN,contrast,1,fidelity,4003,-0.494539121869079
TinyCNN,contrast,1,fidelity,4004,-0.24440796323091507
TinyCNN,contrast,1,fidelity,4005,-0.21858897714455505
TinyCNN,contrast,1,fidelity,4006,-0.26548665447029296
TinyCNN,contrast,1,fidelity,4007,-0.35712705885676044
TinyCNN,contrast,1,fidelity,4008,-0.30037112184082393
TinyCNN,contrast,1,fidelity,4009,-0.45874155397078986
TinyCNN,contrast,1,fidelity,4010,-0.13860091902858418
TinyCNN,contrast,1,fidelity,4011,-0.26593441179344757
TinyCNN,contrast,1,fidelity,4012,-0.5092221553552007
TinyCNN,contrast,1,fidelity,4013,-0.30318539882473816
TinyCNN,contrast,1,fidelity,4014,-0.31957889668870365
TinyCNN,contrast,1,fidelity,4015,-0.40658557751175695
TinyCNN,contrast,1,fidelity,4016,-0.32253976590718625
TinyCNN,contrast,1,fidelity,4017,-0.39441899593932717
TinyCNN,contrast,1,fidelity,4018,-0.5703574038158118
TinyCNN,contrast,1,fidelity,4019,-0.1222756966052686
TinyCNN,contrast,2,fidelity,4000,-0.23513143935780445
TinyCNN,contrast,2,fidelity,4001,-0.4905192985978918
TinyCNN,contrast,2,fidelity,4002,-0.3376374790280511
TinyCNN,contrast,2,fidelity,4003,-0.6115386361748322
TinyCNN,contrast,2,fidelity,4004,-0.07018684677039899
TinyCNN,contrast,2,fidelity,4005,-0.44409185755568115
TinyCNN,contrast,2,fidelity,4006,-0.30591320159919366
TinyCNN,contrast,2,fidelity,4007,-0.1767213074277797
TinyCNN,contrast,2,fidelity,4008,-0.2254998904665111
TinyCNN,contrast,2,fidelity,4009,-0.42819880349322936
TinyCNN,contrast,2,fidelity,4010,-0.18308666973151744
TinyCNN,contrast,2,fidelity,4011,-0.45658779151684137
TinyCNN,contrast,2,fidelity,4012,-0.4656819451984239
TinyCNN,contrast,2,fidelity,4013,-0.2077479328559717
TinyCNN,contrast,2,fidelity,4014,-0.14067098047893312
TinyCNN,contrast,2,fidelity,4015,-0.40823996207129054
TinyCNN,contrast,2,fidelity,4016,-0.30556785234740935
TinyCNN,contrast,2,fidelity,4017,-0.21527579739877623
TinyCNN,contrast,2,fidelity,4018,-0.6932166096862696
TinyCNN,contrast,2,fidelity,4019,-0.2320858362959689
TinyCNN,contrast,4,fidelity,4000,0.03083005510020176
