architecture,method,k,metric,n,mean,sd,ci_low,ci_high
TinyCNN,contrast,1,fidelity,20,-0.3459066147925973,0.1226612973759564,-0.4033138690747028,-0.28849936051049185
TinyCNN,contrast,2,fidelity,20,-0.33168000690263877,0.16341619383741918,-0.40816113986086106,-0.2551988739444165
TinyCNN,contrast,4,fidelity,20,-0.022144806110045306,0.04327748259217204,-0.042399291436769106,-0.0018903207833215058
TinyCNN,contrast,8,fidelity,20,0.006510802227068596,0.005907212112736163,0.0037461418565298216,0.009275462597607372
TinyCNN,contrast,1,cf_accuracy,20,-0.20087890625,0.11595305655700769,-0.2551466071871033,-0.14661120531289668
TinyCNN,contrast,2,cf_accuracy,20,-0.36259765625,0.16547509600572352,-0.4400423850843979,-0.2851529274156021
TinyCNN,contrast,4,cf_accuracy,20,-0.02412109375,0.06052622936949682,-0.05244824106120097,0.0042060535612009654
TinyCNN,contrast,8,cf_accuracy,20,0.01396484375,0.011411033238011575,0.008624315802474039,0.019305371697525962
TinyCNN,contrast,1,causal_usefulness,20,-0.30041194752388933,0.12139947392074274,-0.35722865025059625,-0.2435952447971824
TinyCNN,contrast,2,causal_usefulness,20,-0.2497630700166113,0.15345622032198228,-0.32158279188204825,-0.17794334815117435
TinyCNN,contrast,4,causal_usefulness,20,0.08774926999899721,0.05158309342066362,0.06360763915042206,0.11189090084757236
TinyCNN,contrast,8,causal_usefulness,20,0.040866596141680464,0.027579046539209166,0.027959205046005145,0.05377398723735578
