task,architecture,profile,method,block,B
single_shape,TinyCNN,template_init,contrast,5000,0.11418167792335876
single_shape,TinyCNN,template_init,contrast,5001,-0.0045011459118545205
single_shape,TinyCNN,template_init,contrast,5002,0.06907012998439943
single_shape,TinyCNN,template_init,contrast,5003,0.08398468464680775
single_shape,TinyCNN,template_init,contrast,5004,0.06867048501099138
single_shape,TinyCNN,template_init,contrast,5005,0.0011448168622431587
single_shape,TinyCNN,template_init,contrast,5006,0.04796128956988677
single_shape,TinyCNN,template_init,contrast,5007,0.1231136913875176
single_shape,TinyCNN,template_init,contrast,5008,0.08831479290535821
single_shape,TinyCNN,template_init,contrast,5009,0.06237818050436633
single_shape,TinyCNN,template_init,contrast,5010,0.057083273004741975
single_shape,TinyCNN,template_init,contrast,5011,0.007506120949730133
single_shape,TinyCNN,template_init,contrast,5012,0.14908388367491027
single_shape,TinyCNN,template_init,contrast,5013,0.06611420618231012
single_shape,TinyCNN,template_init,contrast,5014,0.03544961994155443
single_shape,TinyCNN,template_init,contrast,5015,0.04688270625194668
single_shape,TinyCNN,template_init,contrast,5016,0.09734702082039931
single_shape,TinyCNN,template_init,contrast,5017,0.05886538425059362
single_shape,TinyCNN,template_init,contrast,5018,0.1426283471338221
single_shape,TinyCNN,template_init,contrast,5019,0.023721324014986056
single_shape,TinyCNN,template_init,contrast,5020,0.04839915537414635
single_shape,TinyCNN,template_init,contrast,5021,0.07628644307661991
single_shape,TinyCNN,template_init,contrast,5022,0.08814994602266935
single_shape,TinyCNN,template_init,contrast,5023,0.04570527339968922
single_shape,TinyCNN,template_init,contrast,5024,0.09566230460931452
single_shape,TinyCNN,template_init,contrast,5025,0.09674941973872486
single_shape,TinyCNN,template_init,contrast,5026,0.04985039605107311
single_shape,TinyCNN,template_init,contrast,5027,0.09899940698455284
single_shape,TinyCNN,template_init,contrast,5028,0.07657758707175888
single_shape,TinyCNN,template_init,contrast,5029,0.13383448231277556
single_shape,TinyCNN,template_init,contrast,5030,0.10823107467220405
single_shape,TinyCNN,template_init,contrast,5031,0.10677264169231926
single_shape,TinyCNN,template_init,contrast,5032,-0.11964380022176574
single_shape,TinyCNN,template_init,contrast,5033,0.027086561404538745
single_shape,TinyCNN,template_init,contrast,5034,0.12501043713996363
single_shape,TinyCNN,template_init,contrast,5035,0.1350792778682363
single_shape,TinyCNN,template_init,contrast,5036,0.07885402646935535
single_shape,TinyCNN,template_init,contrast,5037,0.1323359579387588
single_shape,TinyCNN,template_init,contrast,5038,0.08482595967796736
single_shape,TinyCNN,template_init,contrast,5039,0.12922395510190793
single_shape,TinyCNN,template_init,contrast,5040,-0.05115513115449294
single_shape,TinyCNN,template_init,contrast,5041,0.08159960050871534
single_shape,TinyCNN,template_init,contrast,5042,0.04615025361901004
single_shape,TinyCNN,template_init,contrast,5043,0.03762048344578445
single_shape,TinyCNN,template_init,contrast,5044,0.061354239309473924
single_shape,TinyCNN,template_init,contrast,5045,0.11541067568610919
single_shape,TinyCNN,template_init,contrast,5046,0.06146976505644752
single_shape,TinyCNN,template_init,contrast,5047,0.09467133133932643
single_shape,TinyCNN,template_init,contrast,5048,-0.005410811820377448
single_shape,TinyCNN,template_init,contrast,5049,0.0030815408641761133
single_shape,TinyCNN,retention_0p1,contrast,5000,0.06299300249699796
