task,architecture,profile,method,k,metric,n,mean,sd,ci_low,ci_high
single_shape,TinyCNN,release_default,contrast,1,fidelity,50,0.024697464857341825,0.016527081246138095,0.02000052033666693,0.02939440937801672
single_shape,TinyCNN,release_default,contrast,1,cf_accuracy,50,0.0028385417303070427,0.006037168253771667,0.0011227974964864885,0.004554285964127597
single_shape,TinyCNN,release_default,contrast,1,causal_usefulness_random,50,0.011497901567661279,0.015486305568588002,0.007096742221822558,0.015899060913499997
single_shape,TinyCNN,release_default,contrast,1,causal_usefulness_energy,50,0.01160457869693635,0.01705515547214782,0.00675755714176115,0.01645160025211155
single_shape,TinyCNN,release_default,contrast,2,fidelity,50,0.13719473025159262,0.05000453210868556,0.12298359946576894,0.15140586103741632
single_shape,TinyCNN,release_default,contrast,2,cf_accuracy,50,0.05669271011138335,0.042529832778539806,0.044605865370963116,0.06877955485180358
single_shape,TinyCNN,release_default,contrast,2,causal_usefulness_random,50,0.09449849451794064,0.04534390355608542,0.08161189971139952,0.10738508932448175
single_shape,TinyCNN,release_default,contrast,2,causal_usefulness_energy,50,0.08945630341622891,0.05012695412532565,0.07521038067823266,0.10370222615422517
single_shape,TinyCNN,release_default,contrast,3,fidelity,50,0.3177607608474267,0.06897010073662753,0.29815967509485347,0.33736184659999996
single_shape,TinyCNN,release_default,contrast,3,cf_accuracy,50,0.20500000536441804,0.06932639630124425,0.18529766153275362,0.22470234919608245
single_shape,TinyCNN,release_default,contrast,3,causal_usefulness_random,50,0.2283095948063909,0.07083072288831326,0.20817972608904287,0.24843946352373894
single_shape,TinyCNN,release_default,contrast,4,fidelity,50,0.49376022236922645,0.06963753786510143,0.4739694530834998,0.5135509916549531
single_shape,TinyCNN,release_default,contrast,4,cf_accuracy,50,0.38781251072883605,0.0741893108292688,0.36672814187976255,0.40889687957790954
single_shape,TinyCNN,release_default,contrast,4,causal_usefulness_random,50,0.3366643263782671,0.07629471019366206,0.31498160965027033,0.35834704310626386
single_shape,TinyCNN,release_default,contrast,4,causal_usefulness_energy,50,0.31006642871504414,0.06880032115223526,0.2905135937864825,0.3296192636436058
single_shape,TinyCNN,release_default,contrast,5,fidelity,50,0.6532188289788651,0.05353547839180178,0.6380042143624555,0.6684334435952747
single_shape,TinyCNN,release_default,contrast,5,cf_accuracy,50,0.566171891093254,0.06343070873442988,0.5481450831290635,0.5841986990574446
single_shape,TinyCNN,release_default,contrast,5,causal_usefulness_random,50,0.3994205229903737,0.06493039036771116,0.38096751022176,0.41787353575898745
single_shape,TinyCNN,release_default,contrast,6,fidelity,50,0.776209217589734,0.03734551305538768,0.7655957402125182,0.7868226949669499
single_shape,TinyCNN,release_default,contrast,6,cf_accuracy,50,0.7112500190734863,0.04909485744860438,0.6972974149655818,0.7252026231813907
single_shape,TinyCNN,release_default,contrast,6,causal_usefulness_random,50,0.41001994830143657,0.052789041795888766,0.3950174686184123,0.4250224279844608
single_shape,TinyCNN,release_default,contrast,7,fidelity,50,0.8468854597161797,0.03303152486405548,0.8374980042175861,0.8562729152147732
single_shape,TinyCNN,release_default,contrast,7,cf_accuracy,50,0.7941927301883698,0.04220495492264211,0.7821982147130159,0.8061872456637237
single_shape,TinyCNN,release_default,contrast,7,causal_usefulness_random,50,0.3583817014258958,0.05958495613205154,0.34144784425831576,0.3753155585934759
single_shape,TinyCNN,release_default,contrast,8,fidelity,50,0.9115371662706984,0.03012629155500925,0.9029753689430172,0.9200989635983795
single_shape,TinyCNN,release_default,contrast,8,cf_accuracy,50,0.8763281464576721,0.04469823335179762,0.8636250490928769,0.8890312438224673
single_shape,TinyCNN,release_default,contrast,8,causal_usefulness_random,50,0.30062830039730665,0.059687188376410676,0.28366538914734946,0.31759121164726384
single_shape,TinyCNN,release_default,contrast,8,causal_usefulness_energy,50,0.2642142626139277,0.06235139379991118,0.246494192560217,0.2819343326676384
single_shape,TinyCNN,release_default,contrast,9,fidelity,50,0.9491134894474675,0.019418276711603535,0.9435948762668839,0.9546321026280512
single_shape,TinyCNN,release_default,contrast,9,cf_accuracy,50,0.9286198139190673,0.030373746944626162,0.9199876905477815,0.9372519372903532
single_shape,TinyCNN,release_default,contrast,9,causal_usefulness_random,50,0.22653942925352324,0.05029911607611411,0.2122445786304769,0.24083427987656958
single_shape,TinyCNN,release_default,contrast,10,fidelity,50,0.9739725571057944,0.01635610126070383,0.9693242045593327,0.9786209096522562
single_shape,TinyCNN,release_default,contrast,10,cf_accuracy,50,0.9642708563804626,0.02521427212531439,0.9571050395288346,0.9714366732320906
single_shape,TinyCNN,release_default,contrast,10,causal_usefulness_random,50,0.15847364453341897,0.03832423025554281,0.1475820188054994,0.16936527026133855
single_shape,TinyCNN,release_default,contrast,11,fidelity,50,0.9892769071895968,0.008583045115398943,0.9868376327572225,0.9917161816219712
single_shape,TinyCNN,release_default,contrast,11,cf_accuracy,50,0.9858073115348815,0.014186382986695579,0.9817755860992046,0.9898390369705585
single_shape,TinyCNN,release_default,contrast,11,causal_usefulness_random,50,0.10493074523958562,0.026381694815180757,0.09743315053046325,0.11242833994870799
single_shape,TinyCNN,release_default,contrast,12,fidelity,50,0.995841105422818,0.0039039884436852263,0.994731604183231,0.996950606662405
single_shape,TinyCNN,release_default,contrast,12,cf_accuracy,50,0.9959114754199981,0.005805298219920627,0.9942616279206817,0.9975613229193145
single_shape,TinyCNN,release_default,contrast,12,causal_usefulness_random,50,0.05993235716133583,0.024461593062901396,0.0529804493324431,0.06688426499022856
single_shape,TinyCNN,release_default,contrast,13,fidelity,50,0.9980533243336395,0.0021660394811604403,0.997437742724214,0.9986689059430649
single_shape,TinyCNN,release_default,contrast,13,cf_accuracy,50,0.9978906357288361,0.0032633238757099016,0.9969632093448951,0.998818062112777
single_shape,TinyCNN,release_default,contrast,13,causal_usefulness_random,50,0.030972282425291528,0.018282770892902513,0.025776376427779777,0.03616818842280328
single_shape,TinyCNN,release_default,contrast,14,fidelity,50,0.9994656181532068,0.0006738125487710319,0.9992741227456525,0.999657113560761
single_shape,TinyCNN,release_default,contrast,14,cf_accuracy,50,0.9994270884990692,0.0011210145174585517,0.9991084996982424,0.999745677299896
single_shape,TinyCNN,release_default,contrast,14,causal_usefulness_random,50,0.01143275315482535,0.009684163829213941,0.008680544246457263,0.014184962063193439
single_shape,TinyCNN,release_default,contrast,15,fidelity,50,0.9999112350721062,0.00012323261972824426,0.999876212749085,0.9999462573951274
single_shape,TinyCNN,release_default,contrast,15,cf_accuracy,50,0.9997656261920929,0.0008188734401097876,0.9995329049353647,0.999998347448821
single_shape,TinyCNN,release_default,contrast,15,causal_usefulness_random,50,0.0023525678732406207,0.0033529247141226392,0.0013996772127730477,0.003305458533708194
single_shape,TinyCNN,release_default,contrast,16,fidelity,50,1.0,0.0,1.0,1.0
single_shape,TinyCNN,release_default,contrast,16,cf_accuracy,50,0.999921875,0.0005524271728019902,0.9997648769345993,1.0000788730654007
single_shape,TinyCNN,release_default,contrast,16,causal_usefulness_random,50,0.0,0.0,0.0,0.0
single_shape,TinyCNN,release_default,auroc,1,fidelity,50,0.031055601518165343,0.01996860592977402,0.025380586504290183,0.0367306165320405
single_shape,TinyCNN,release_default,auroc,1,cf_accuracy,50,0.006666666956152767,0.014113978097713423,0.0026555187622470094,0.010677815150058525
single_shape,TinyCNN,release_default,auroc,1,causal_usefulness_random,50,0.0178560382284848,0.01998760095587839,0.012175624887920719,0.023536451569048884
single_shape,TinyCNN,release_default,auroc,1,causal_usefulness_energy,50,0.018638916977608104,0.02115109922172923,0.012627841088514478,0.02464999286670173
single_shape,TinyCNN,release_default,auroc,2,fidelity,50,0.15485664649505007,0.05729766442805804,0.13857283043734644,0.1711404625527537
single_shape,TinyCNN,release_default,auroc,2,cf_accuracy,50,0.07380208557471633,0.053045979227989065,0.05872658508143004,0.08887758606800263
single_shape,TinyCNN,release_default,auroc,2,causal_usefulness_random,50,0.11216041076139811,0.05382797010669511,0.09686267091935721,0.127458150603439
single_shape,TinyCNN,release_default,auroc,2,causal_usefulness_energy,50,0.1073818721004611,0.05452655979476805,0.09188559526578813,0.12287814893513407
single_shape,TinyCNN,release_default,auroc,3,fidelity,50,0.3375960661138302,0.06833490272790335,0.3181755016379535,0.3570166305897069
single_shape,TinyCNN,release_default,auroc,3,cf_accuracy,50,0.22463542222976685,0.07167144822588059,0.2042666220151466,0.2450042224443871
single_shape,TinyCNN,release_default,auroc,3,causal_usefulness_random,50,0.24814490007279436,0.07133117989935575,0.22787280304659724,0.26841699709899147
single_shape,TinyCNN,release_default,auroc,4,fidelity,50,0.5217510427252356,0.07058179937250579,0.5016919172883391,0.5418101681621322
single_shape,TinyCNN,release_default,auroc,4,cf_accuracy,50,0.4134375095367432,0.08015289245550296,0.3906583095420018,0.43621670953148456
single_shape,TinyCNN,release_default,auroc,4,causal_usefulness_random,50,0.3646551467342764,0.07610676727955701,0.343025842791481,0.3862844506770718
single_shape,TinyCNN,release_default,auroc,4,causal_usefulness_energy,50,0.33803556833382487,0.07507051408583756,0.31670076429018196,0.3593703723774678
single_shape,TinyCNN,release_default,auroc,5,fidelity,50,0.6617265739859475,0.05035125741561255,0.6474169049581744,0.6760362430137206
single_shape,TinyCNN,release_default,auroc,5,cf_accuracy,50,0.5764583534002304,0.062375339832953125,0.5587314779592276,0.5941852288412333
single_shape,TinyCNN,release_default,auroc,5,causal_usefulness_random,50,0.40792826799745624,0.0601470181519407,0.3908346745712301,0.42502186142368237
single_shape,TinyCNN,release_default,auroc,6,fidelity,50,0.7661218750832455,0.04518685613828147,0.753279912659008,0.778963837507483
single_shape,TinyCNN,release_default,auroc,6,cf_accuracy,50,0.6961198103427887,0.053065835068834374,0.6810386668819709,0.7112009538036065
single_shape,TinyCNN,release_default,auroc,6,causal_usefulness_random,50,0.399932605794948,0.0625971397228782,0.38214269552267915,0.41772251606721683
single_shape,TinyCNN,release_default,auroc,7,fidelity,50,0.8460705675615589,0.03684453656419282,0.8355994661278178,0.8565416689952999
single_shape,TinyCNN,release_default,auroc,7,cf_accuracy,50,0.7930729365348816,0.04602720893481418,0.7799921484883625,0.8061537245814008
single_shape,TinyCNN,release_default,auroc,7,causal_usefulness_random,50,0.35756680927127504,0.061976082521123785,0.3399534015028278,0.37518021703972226
single_shape,TinyCNN,release_default,auroc,8,fidelity,50,0.9052265053246638,0.030791856549924057,0.8964755565182998,0.9139774541310277
single_shape,TinyCNN,release_default,auroc,8,cf_accuracy,50,0.8682552254199982,0.043641655996890065,0.8558524040170558,0.8806580468229407
single_shape,TinyCNN,release_default,auroc,8,causal_usefulness_random,50,0.29431763945127215,0.06076973452185545,0.27704707199085055,0.31158820691169375
single_shape,TinyCNN,release_default,auroc,8,causal_usefulness_energy,50,0.2600846448926828,0.06547980952899553,0.24147548892608295,0.27869380085928264
single_shape,TinyCNN,release_default,auroc,9,fidelity,50,0.9400650115715021,0.021647521370683643,0.9339128540686772,0.9462171690743271
single_shape,TinyCNN,release_default,auroc,9,cf_accuracy,50,0.9154687690734863,0.03251096797564482,0.9062292542056857,0.9247082839412869
single_shape,TinyCNN,release_default,auroc,9,causal_usefulness_random,50,0.21749095137755797,0.05039136485970019,0.20316988394029317,0.23181201881482277
