task,architecture,profile,method,k,metric,block,delta
single_shape,TinyCNN,template_init,contrast,1,fidelity,5000,-0.14636216907341992
single_shape,TinyCNN,template_init,contrast,1,fidelity,5001,-0.08938120878423961
single_shape,TinyCNN,template_init,contrast,1,fidelity,5002,-0.12227008514745807
single_shape,TinyCNN,template_init,contrast,1,fidelity,5003,-0.15256164753257784
single_shape,TinyCNN,template_init,contrast,1,fidelity,5004,-0.16138381302721505
single_shape,TinyCNN,template_init,contrast,1,fidelity,5005,-0.0808060539007851
single_shape,TinyCNN,template_init,contrast,1,fidelity,5006,-0.10424590677432732
single_shape,TinyCNN,template_init,contrast,1,fidelity,5007,-0.15478531864291867
single_shape,TinyCNN,template_init,contrast,1,fidelity,5008,-0.12198780220822192
single_shape,TinyCNN,template_init,contrast,1,fidelity,5009,-0.15476332921584401
single_shape,TinyCNN,template_init,contrast,1,fidelity,5010,-0.0823049092782503
single_shape,TinyCNN,template_init,contrast,1,fidelity,5011,-0.07069972597522367
single_shape,TinyCNN,template_init,contrast,1,fidelity,5012,-0.1899632878696903
single_shape,TinyCNN,template_init,contrast,1,fidelity,5013,-0.11063994607134453
single_shape,TinyCNN,template_init,contrast,1,fidelity,5014,-0.08243191545996231
single_shape,TinyCNN,template_init,contrast,1,fidelity,5015,-0.17851702983944828
single_shape,TinyCNN,template_init,contrast,1,fidelity,5016,-0.139684688352524
single_shape,TinyCNN,template_init,contrast,1,fidelity,5017,-0.10091081210115127
single_shape,TinyCNN,template_init,contrast,1,fidelity,5018,-0.19052229117035457
single_shape,TinyCNN,template_init,contrast,1,fidelity,5019,-0.09459462389590956
single_shape,TinyCNN,template_init,contrast,1,fidelity,5020,-0.08653371654687447
single_shape,TinyCNN,template_init,contrast,1,fidelity,5021,-0.08672581946280444
single_shape,TinyCNN,template_init,contrast,1,fidelity,5022,-0.12156229914337902
single_shape,TinyCNN,template_init,contrast,1,fidelity,5023,-0.05853893322151482
single_shape,TinyCNN,template_init,contrast,1,fidelity,5024,-0.09106927290287481
single_shape,TinyCNN,template_init,contrast,1,fidelity,5025,-0.09735196350452568
single_shape,TinyCNN,template_init,contrast,1,fidelity,5026,-0.09777630222002154
single_shape,TinyCNN,template_init,contrast,1,fidelity,5027,-0.15573707983336815
single_shape,TinyCNN,template_init,contrast,1,fidelity,5028,-0.12636987800606925
single_shape,TinyCNN,template_init,contrast,1,fidelity,5029,-0.12842519482495085
single_shape,TinyCNN,template_init,contrast,1,fidelity,5030,-0.09271512913145208
single_shape,TinyCNN,template_init,contrast,1,fidelity,5031,-0.13979022586679957
single_shape,TinyCNN,template_init,contrast,1,fidelity,5032,-0.08101046628456532
single_shape,TinyCNN,template_init,contrast,1,fidelity,5033,-0.08829750128417757
single_shape,TinyCNN,template_init,contrast,1,fidelity,5034,-0.10718104774140136
single_shape,TinyCNN,template_init,contrast,1,fidelity,5035,-0.1595171940982033
single_shape,TinyCNN,template_init,contrast,1,fidelity,5036,-0.12351574872993076
single_shape,TinyCNN,template_init,contrast,1,fidelity,5037,-0.13270233304208945
single_shape,TinyCNN,template_init,contrast,1,fidelity,5038,-0.07448773090002292
single_shape,TinyCNN,template_init,contrast,1,fidelity,5039,-0.15693846296218616
single_shape,TinyCNN,template_init,contrast,1,fidelity,5040,-0.08223581962627402
single_shape,TinyCNN,template_init,contrast,1,fidelity,5041,-0.10769468623501177
single_shape,TinyCNN,template_init,contrast,1,fidelity,5042,-0.10283819810739936
single_shape,TinyCNN,template_init,contrast,1,fidelity,5043,-0.06841950939154429
single_shape,TinyCNN,template_init,contrast,1,fidelity,5044,-0.10869121836799744
single_shape,TinyCNN,template_init,contrast,1,fidelity,5045,-0.1202347568176435
single_shape,TinyCNN,template_init,contrast,1,fidelity,5046,-0.09332688106545173
single_shape,TinyCNN,template_init,contrast,1,fidelity,5047,-0.14431815986409757
single_shape,TinyCNN,template_init,contrast,1,fidelity,5048,-0.08555681175114138
single_shape,TinyCNN,template_init,contrast,1,fidelity,5049,-0.09396230681042284
single_shape,TinyCNN,template_init,contrast,2,fidelity,5000,-0.29422504973038754
single_shape,TinyCNN,template_init,contrast,2,fidelity,5001,-0.0876047998632139
single_shape,TinyCNN,template_init,contrast,2,fidelity,5002,-0.11067301113776773
single_shape,TinyCNN,template_init,contrast,2,fidelity,5003,-0.263399877178068
single_shape,TinyCNN,template_init,contrast,2,fidelity,5004,-0.2094877046584276
single_shape,TinyCNN,template_init,contrast,2,fidelity,5005,-0.19071107866317927
single_shape,TinyCNN,template_init,contrast,2,fidelity,5006,-0.17543880225574648
single_shape,TinyCNN,template_init,contrast,2,fidelity,5007,-0.24125090440518104
single_shape,TinyCNN,template_init,contrast,2,fidelity,5008,-0.11536483694612909
