task,architecture,method,k,metric,n,mean,ci_low,ci_high
single_shape,TinyCNN,auroc,1,causal_usefulness,10,-0.07639155157421329,-0.0984166844180778,-0.05436641873034878
single_shape,TinyCNN,auroc,1,cf_accuracy,10,-0.025520834093913435,-0.04376402775509161,-0.007277640432735256
single_shape,TinyCNN,auroc,2,causal_usefulness,10,-0.10709290605782869,-0.13369712922582108,-0.0804886828898363
single_shape,TinyCNN,auroc,2,cf_accuracy,10,-0.07838542200624943,-0.10105633963696772,-0.055714504375531125
single_shape,TinyCNN,auroc,4,causal_usefulness,10,-0.030918548912520834,-0.07736637294932924,0.015529275124287568
single_shape,TinyCNN,auroc,4,cf_accuracy,10,-0.1272135406732559,-0.1781955748035805,-0.07623150654293132
single_shape,TinyCNN,auroc,8,causal_usefulness,10,0.025526134480010267,-0.005673605134482694,0.05672587409450323
single_shape,TinyCNN,auroc,8,cf_accuracy,10,-0.02200521230697632,-0.060083479159522085,0.01607305454556945
single_shape,TinyCNN,contrast,1,causal_usefulness,10,-0.06157995896384546,-0.08520255273266367,-0.037957365195027244
single_shape,TinyCNN,contrast,1,cf_accuracy,10,-0.01627604184905067,-0.03221845984312231,-0.0003336238549790302
single_shape,TinyCNN,contrast,2,causal_usefulness,10,-0.12516800400079248,-0.1660747688127601,-0.08426123918882486
single_shape,TinyCNN,contrast,2,cf_accuracy,10,-0.08033854681998491,-0.11808780178495315,-0.04258929185501668
single_shape,TinyCNN,contrast,4,causal_usefulness,10,-0.02237682315600365,-0.08735014730168994,0.04259650098968263
single_shape,TinyCNN,contrast,4,cf_accuracy,10,-0.11549479365348816,-0.17820049612428854,-0.05278909118268779
single_shape,TinyCNN,contrast,8,causal_usefulness,10,0.03124513479517057,0.004195766538010334,0.058294503052330804
single_shape,TinyCNN,contrast,8,cf_accuracy,10,-0.012239587306976319,-0.04420052847462162,0.019721353860668988
single_shape,TinyCNN,validation_patch,1,causal_usefulness,10,-0.09551781329113444,-0.11435912239056423,-0.07667650419170466
single_shape,TinyCNN,validation_patch,1,cf_accuracy,10,-0.038281251187436284,-0.058303066209216714,-0.01825943616565585
single_shape,TinyCNN,validation_patch,2,causal_usefulness,10,-0.058989782245159585,-0.09906424685988514,-0.018915317630434025
single_shape,TinyCNN,validation_patch,2,cf_accuracy,10,-0.069140625,-0.10661409334040137,-0.03166715665959862
single_shape,TinyCNN,validation_patch,4,causal_usefulness,10,0.024040529532724016,-0.03014184549156501,0.07822290455701304
single_shape,TinyCNN,validation_patch,4,cf_accuracy,10,-0.04036458432674408,-0.10825788892274016,0.027528720269251995
single_shape,TinyCNN,validation_patch,8,causal_usefulness,10,0.043032780994939714,0.01562094997380973,0.07044461201606969
single_shape,TinyCNN,validation_patch,8,cf_accuracy,10,-1.1920928955078126e-08,-0.031194073888847578,0.031194050046989667
single_shape,TwoLayerCNN,auroc,1,causal_usefulness,10,0.0019354355459112848,-5.940464198868627e-05,0.003930275733811256
single_shape,TwoLayerCNN,auroc,1,cf_accuracy,10,-0.0005208333488553763,-0.0016990402396218531,0.0006573735419111006
single_shape,TwoLayerCNN,auroc,2,causal_usefulness,10,0.0010894466366604127,-0.005444841341780917,0.007623734615101742
single_shape,TwoLayerCNN,auroc,2,cf_accuracy,10,-0.0006510417209938168,-0.001912236811547386,0.0006101533695597523
single_shape,TwoLayerCNN,auroc,4,causal_usefulness,10,-0.013855939221602106,-0.06682794639101823,0.03911606794781401
single_shape,TwoLayerCNN,auroc,4,cf_accuracy,10,-0.02161458311602473,-0.08178489873258074,0.03855573250053128
single_shape,TwoLayerCNN,auroc,8,causal_usefulness,10,0.05278697684783399,-0.006740072907759853,0.11231402660342783
single_shape,TwoLayerCNN,auroc,8,cf_accuracy,10,0.04388020932674408,-0.02172405870304618,0.10948447735653434
single_shape,TwoLayerCNN,contrast,1,causal_usefulness,10,0.0016181834449273957,-0.0002593223639617492,0.0034956892538165404
single_shape,TwoLayerCNN,contrast,1,cf_accuracy,10,-0.0005208333488553763,-0.0016990402396218531,0.0006573735419111006
single_shape,TwoLayerCNN,contrast,2,causal_usefulness,10,-0.0014837509922342284,-0.008967125554183452,0.005999623569714996
single_shape,TwoLayerCNN,contrast,2,cf_accuracy,10,-0.0011718750232830645,-0.0027211908789458285,0.0003774408323796998
single_shape,TwoLayerCNN,contrast,4,causal_usefulness,10,-0.006623220416642414,-0.05205704395791315,0.03881060312462832
single_shape,TwoLayerCNN,contrast,4,cf_accuracy,10,-0.024088541604578496,-0.08410654177500995,0.03592945856585295
single_shape,TwoLayerCNN,contrast,8,causal_usefulness,10,0.0502656951946065,-0.004170845822638707,0.1047022362118517
single_shape,TwoLayerCNN,contrast,8,cf_accuracy,10,0.04023436903953552,-0.02946437619903776,0.1099331142781088
single_shape,TwoLayerCNN,validation_patch,1,causal_usefulness,10,-0.012608279042097353,-0.018194482480031922,-0.007022075604162783
single_shape,TwoLayerCNN,validation_patch,1,cf_accuracy,10,-0.001171875069849193,-0.0032054911862013273,0.0008617410465029413
single_shape,TwoLayerCNN,validation_patch,2,causal_usefulness,10,-0.017011785871947755,-0.03455878449504836,0.0005352127511528519
single_shape,TwoLayerCNN,validation_patch,2,cf_accuracy,10,-0.003125000325962901,-0.010945273408954664,0.004695272757028861
single_shape,TwoLayerCNN,validation_patch,4,causal_usefulness,10,0.00170862257632753,-0.05301389707265927,0.056431142225314326
single_shape,TwoLayerCNN,validation_patch,4,cf_accuracy,10,-0.011197914835065603,-0.07209283742029285,0.04969700775016165
single_shape,TwoLayerCNN,validation_patch,8,causal_usefulness,10,0.09195104841791099,0.043687951564202986,0.140214145271619
single_shape,TwoLayerCNN,validation_patch,8,cf_accuracy,10,0.1203125,0.08045612728101967,0.16016887271898034
two_concepts,TinyCNN,auroc,1,causal_usefulness,10,-0.2922910246518683,-0.39596311431666764,-0.18861893498706894
two_concepts,TinyCNN,auroc,1,cf_accuracy,10,-0.230078125,-0.31616032795545557,-0.14399592204454442
