task,architecture,treatment,baseline,metric,n,mean,ci_low,ci_high
single_shape,TinyCNN,template_init,random_unitnorm,early_acc,10,-0.0385546875,-0.10631554585411337,0.029206170854113388
single_shape,TinyCNN,template_init,random_unitnorm,first95,10,-0.5,-1.97955762395351,0.97955762395351
single_shape,TinyCNN,template_init,random_unitnorm,id_acc,10,0.0,0.0,0.0
single_shape,TinyCNN,template_init,random_unitnorm,alignment,10,0.32192085294655787,0.29807941688643613,0.3457622890066796
single_shape,TinyCNN,template_init,random_unitnorm,semantic_auc,10,0.00731201171875,-0.0002892790782132535,0.014913302515713253
single_shape,TinyCNN,template_init,random_unitnorm,localization_iou,10,0.06911383832234444,0.008198118130639802,0.13002955851404907
single_shape,TinyCNN,template_init,random_unitnorm,causal_usefulness,10,0.04799494967773048,-7.153937391519982e-05,0.09606143872937616
single_shape,TinyCNN,template_init,random_unitnorm,cf_accuracy,10,0.0475260466337204,0.00039112614692555364,0.09466096712051525
single_shape,TinyCNN,template_init,random_unitnorm,refit_test_acc,10,0.0,0.0,0.0
single_shape,TinyCNN,template_init,random_unitnorm,late_ce_slope,10,-3.7634918462708895e-06,-5.542307581498341e-06,-1.9846761110434376e-06
single_shape,TinyCNN,template_release,template_retention_1,early_acc,10,0.0,0.0,0.0
single_shape,TinyCNN,template_release,template_retention_1,first95,10,0.0,0.0,0.0
single_shape,TinyCNN,template_release,template_retention_1,id_acc,10,0.000390625,-0.0004930301417398823,0.0012742801417398824
single_shape,TinyCNN,template_release,template_retention_1,alignment,10,-0.26930417498556286,-0.2794438072510825,-0.25916454272004324
single_shape,TinyCNN,template_release,template_retention_1,semantic_auc,10,0.03696492513020838,0.031988688864104095,0.04194116139631267
single_shape,TinyCNN,template_release,template_retention_1,localization_iou,10,-0.10613939250520062,-0.13023096362431086,-0.08204782138609036
single_shape,TinyCNN,template_release,template_retention_1,causal_usefulness,10,-0.02237683503245715,-0.08735013908451246,0.04259646901959817
single_shape,TinyCNN,template_release,template_retention_1,cf_accuracy,10,-0.11549479067325592,-0.17820048926290577,-0.05278909208360609
single_shape,TinyCNN,template_release,template_retention_1,refit_test_acc,10,0.000390625,-0.0004930301417398823,0.0012742801417398824
single_shape,TinyCNN,template_release,template_retention_1,late_ce_slope,10,0.0003383588385453118,0.0003094536021224608,0.00036726407496816277
single_shape,TinyCNN,template_release,template_init,early_acc,10,-0.0054296875000000135,-0.011488366375109003,0.0006289913751089758
single_shape,TinyCNN,template_release,template_init,first95,10,0.8,0.06118256440338521,1.5388174355966149
single_shape,TinyCNN,template_release,template_init,id_acc,10,0.0,0.0,0.0
single_shape,TinyCNN,template_release,template_init,alignment,10,0.0796117015634089,0.06629579676290265,0.09292760636391514
single_shape,TinyCNN,template_release,template_init,semantic_auc,10,-0.002679443359374989,-0.0067299306604607844,0.0013710439417108063
single_shape,TinyCNN,template_release,template_init,localization_iou,10,0.029123862077540606,0.0006161316896863209,0.05763159246539489
single_shape,TinyCNN,template_release,template_init,causal_usefulness,10,0.01547528978119525,-0.029199762832698956,0.06015034239508946
single_shape,TinyCNN,template_release,template_init,cf_accuracy,10,0.03151041567325592,-0.027535263695936382,0.09055609504244823
single_shape,TinyCNN,template_release,template_init,refit_test_acc,10,0.0,0.0,0.0
single_shape,TinyCNN,template_release,template_init,late_ce_slope,10,-7.09258483834771e-06,-1.1037202513796097e-05,-3.147967162899325e-06
single_shape,TinyCNN,template_release,random_unitnorm,early_acc,10,-0.043984375000000006,-0.11010912892485505,0.022140378924855042
single_shape,TinyCNN,template_release,random_unitnorm,first95,10,0.3,-1.3537659948555338,1.953765994855534
single_shape,TinyCNN,template_release,random_unitnorm,id_acc,10,0.0,0.0,0.0
single_shape,TinyCNN,template_release,random_unitnorm,alignment,10,0.4015325545099667,0.38209005439882004,0.4209750546211134
single_shape,TinyCNN,template_release,random_unitnorm,semantic_auc,10,0.004632568359375011,-0.0005739948315152746,0.009839131550265296
single_shape,TinyCNN,template_release,random_unitnorm,localization_iou,10,0.09823770039988507,0.023498044590196915,0.17297735620957322
single_shape,TinyCNN,template_release,random_unitnorm,causal_usefulness,10,0.06347023945892574,0.004238604861378822,0.12270187405647266
single_shape,TinyCNN,template_release,random_unitnorm,cf_accuracy,10,0.07903646230697632,0.0057988370329300765,0.15227408758102257
single_shape,TinyCNN,template_release,random_unitnorm,refit_test_acc,10,0.0,0.0,0.0
single_shape,TinyCNN,template_release,random_unitnorm,late_ce_slope,10,-1.08560766846186e-05,-1.4643918831069615e-05,-7.068234538167584e-06
single_shape,TwoLayerCNN,template_init,random_unitnorm,early_acc,10,0.03335937500000001,0.012503033591203402,0.05421571640879662
single_shape,TwoLayerCNN,template_init,random_unitnorm,first95,10,-1.4,-2.168985567747116,-0.6310144322528838
single_shape,TwoLayerCNN,template_init,random_unitnorm,id_acc,10,0.0,0.0,0.0
single_shape,TwoLayerCNN,template_init,random_unitnorm,alignment,10,0.5707167831354456,0.544856235455427,0.5965773308154642
single_shape,TwoLayerCNN,template_init,random_unitnorm,semantic_auc,10,0.0013224283854166852,-0.012291302734650717,0.014936159505484088
single_shape,TwoLayerCNN,template_init,random_unitnorm,localization_iou,10,0.16246679612965856,0.1286348866325755,0.19629870562674162
single_shape,TwoLayerCNN,template_init,random_unitnorm,causal_usefulness,10,0.052087789924068005,-0.00845148092312522,0.11262706077126122
single_shape,TwoLayerCNN,template_init,random_unitnorm,cf_accuracy,10,0.036458333430346115,-0.019095018573692182,0.09201168543438441
single_shape,TwoLayerCNN,template_init,random_unitnorm,refit_test_acc,10,0.0,0.0,0.0
single_shape,TwoLayerCNN,template_init,random_unitnorm,late_ce_slope,10,7.928656112170765e-07,-1.1099323647827154e-06,2.6956635872168684e-06
single_shape,TwoLayerCNN,template_release,template_retention_1,early_acc,10,0.0,0.0,0.0
single_shape,TwoLayerCNN,template_release,template_retention_1,first95,10,0.0,0.0,0.0
single_shape,TwoLayerCNN,template_release,template_retention_1,id_acc,10,0.000390625,-0.0004930301417398823,0.0012742801417398824
single_shape,TwoLayerCNN,template_release,template_retention_1,alignment,10,-0.05743600632868082,-0.06183850572122485,-0.053033506936136794
single_shape,TwoLayerCNN,template_release,template_retention_1,semantic_auc,10,-0.028080240885416673,-0.03828190569032471,-0.017878576080508635
single_shape,TwoLayerCNN,template_release,template_retention_1,localization_iou,10,-0.06160400886110719,-0.07332560774555433,-0.04988240997666005
single_shape,TwoLayerCNN,template_release,template_retention_1,causal_usefulness,10,-0.006623196505228604,-0.05205702638780912,0.038810633377351904
single_shape,TwoLayerCNN,template_release,template_retention_1,cf_accuracy,10,-0.02408854402601719,-0.08410654371048841,0.035929455658454026
single_shape,TwoLayerCNN,template_release,template_retention_1,refit_test_acc,10,0.000390625,-0.0004930301417398823,0.0012742801417398824
single_shape,TwoLayerCNN,template_release,template_retention_1,late_ce_slope,10,1.7913198968373366e-05,1.1553453702706016e-05,2.4272944234040715e-05
single_shape,TwoLayerCNN,template_release,template_init,early_acc,10,-0.00027343750000000664,-0.0020894151071178713,0.0015425401071178578
single_shape,TwoLayerCNN,template_release,template_init,first95,10,0.0,0.0,0.0
single_shape,TwoLayerCNN,template_release,template_init,id_acc,10,-0.000390625,-0.0012742801417398824,0.0004930301417398823
single_shape,TwoLayerCNN,template_release,template_init,alignment,10,0.14358739997812647,0.1343100904028752,0.15286470955337775
single_shape,TwoLayerCNN,template_release,template_init,semantic_auc,10,0.005841064453125,-0.0046003980097825406,0.01628252691603254
single_shape,TwoLayerCNN,template_release,template_init,localization_iou,10,0.03414884699971695,0.015298109962282404,0.0529995840371515
single_shape,TwoLayerCNN,template_release,template_init,causal_usefulness,10,0.004120974599869351,-0.027929627036997185,0.036171576236735885
single_shape,TwoLayerCNN,template_release,template_init,cf_accuracy,10,0.01627604068489746,-0.008006368403300691,0.04055844977309561
single_shape,TwoLayerCNN,template_release,template_init,refit_test_acc,10,-0.000390625,-0.0012742801417398824,0.0004930301417398823
single_shape,TwoLayerCNN,template_release,template_init,late_ce_slope,10,-6.263672548809221e-07,-2.2452770509738116e-06,9.925425412119677e-07
single_shape,TwoLayerCNN,template_release,random_unitnorm,early_acc,10,0.03308593750000001,0.010672874544055511,0.05549900045594451
single_shape,TwoLayerCNN,template_release,random_unitnorm,first95,10,-1.4,-2.168985567747116,-0.6310144322528838
single_shape,TwoLayerCNN,template_release,random_unitnorm,id_acc,10,-0.000390625,-0.0012742801417398824,0.0004930301417398823
single_shape,TwoLayerCNN,template_release,random_unitnorm,alignment,10,0.7143041831135721,0.6891821519594391,0.7394262142677052
single_shape,TwoLayerCNN,template_release,random_unitnorm,semantic_auc,10,0.007163492838541685,-0.0113997026854849,0.025726688362568268
single_shape,TwoLayerCNN,template_release,random_unitnorm,localization_iou,10,0.19661564312937552,0.1600218788629817,0.23320940739576934
single_shape,TwoLayerCNN,template_release,random_unitnorm,causal_usefulness,10,0.05620876452393736,-0.004429769446341547,0.11684729849421627
single_shape,TwoLayerCNN,template_release,random_unitnorm,cf_accuracy,10,0.05273437411524358,-0.008592850297536113,0.11406159852802328
single_shape,TwoLayerCNN,template_release,random_unitnorm,refit_test_acc,10,-0.000390625,-0.0012742801417398824,0.0004930301417398823
single_shape,TwoLayerCNN,template_release,random_unitnorm,late_ce_slope,10,1.6649835633615438e-07,-5.756009510507009e-07,9.085976637230097e-07
two_concepts,TinyCNN,template_init,random_unitnorm,early_acc,10,-0.06843750000000001,-0.10257115103958984,-0.03430384896041018
two_concepts,TinyCNN,template_init,random_unitnorm,first95,10,-2.1,-5.235443765494889,1.0354437654948887
two_concepts,TinyCNN,template_init,random_unitnorm,id_acc,10,0.0,-0.003951825931195177,0.003951825931195177
two_concepts,TinyCNN,template_init,random_unitnorm,alignment,10,0.28582157256270846,0.26143126881160267,0.31021187631381425
two_concepts,TinyCNN,template_init,random_unitnorm,semantic_auc,10,0.0009857177734374778,-0.006193906865665694,0.00816534241254065
two_concepts,TinyCNN,template_init,random_unitnorm,localization_iou,10,0.025780107324411706,-0.0038242949474884616,0.05538450959631187
two_concepts,TinyCNN,template_init,random_unitnorm,causal_usefulness,10,0.02173133861013297,-0.0368898763400277,0.08035255356029364
two_concepts,TinyCNN,template_init,random_unitnorm,cf_accuracy,10,0.0615234375,-0.014591968338716274,0.1376388433387163
two_concepts,TinyCNN,template_init,random_unitnorm,refit_test_acc,10,0.001171875,-0.002790913021410669,0.0051346630214106695
two_concepts,TinyCNN,template_init,random_unitnorm,late_ce_slope,10,-2.6180269336677832e-05,-5.244518426884829e-05,8.464559549262792e-08
two_concepts,TinyCNN,template_release,template_retention_1,early_acc,10,0.0,0.0,0.0
two_concepts,TinyCNN,template_release,template_retention_1,first95,10,-20.3,-38.47891916071977,-2.1210808392802356
two_concepts,TinyCNN,template_release,template_retention_1,id_acc,10,0.012109375,0.0071019958634740005,0.017116754136526
two_concepts,TinyCNN,template_release,template_retention_1,alignment,10,-0.367042590472098,-0.37566296765201085,-0.3584222132921851
two_concepts,TinyCNN,template_release,template_retention_1,semantic_auc,10,0.03766021728515628,0.028601740327665034,0.04671869424264753
two_concepts,TinyCNN,template_release,template_retention_1,localization_iou,10,-0.1121012483806572,-0.14866419753959886,-0.07553829922171554
two_concepts,TinyCNN,template_release,template_retention_1,causal_usefulness,10,0.0608306583365477,0.026977689435551795,0.09468362723754362
two_concepts,TinyCNN,template_release,template_retention_1,cf_accuracy,10,-0.0296875,-0.06950540117749854,0.010130401177498548
two_concepts,TinyCNN,template_release,template_retention_1,refit_test_acc,10,0.0046875,-0.0010240696420197315,0.010399069642019731
two_concepts,TinyCNN,template_release,template_retention_1,late_ce_slope,10,0.0007691464480712855,0.0007105988919198706,0.0008276940042227004
two_concepts,TinyCNN,template_release,template_init,early_acc,10,-0.01999999999999999,-0.03841351114613877,-0.001586488853861208
two_concepts,TinyCNN,template_release,template_init,first95,10,23.1,14.200584400882247,31.999415599117754
two_concepts,TinyCNN,template_release,template_init,id_acc,10,-0.00078125,-0.0033490923091895044,0.0017865923091895046
two_concepts,TinyCNN,template_release,template_init,alignment,10,0.07235434022035077,0.06114704329896831,0.08356163714173323
two_concepts,TinyCNN,template_release,template_init,semantic_auc,10,-0.002925109863281217,-0.006906679268402549,0.0010564595418401154
two_concepts,TinyCNN,template_release,template_init,localization_iou,10,0.021290010966687905,-0.013830080482691232,0.056410102416067046
two_concepts,TinyCNN,template_release,template_init,causal_usefulness,10,0.08857286830701691,0.037058724844154435,0.1400870117698794
two_concepts,TinyCNN,template_release,template_init,cf_accuracy,10,0.126953125,0.05410291728997643,0.19980333271002357
two_concepts,TinyCNN,template_release,template_init,refit_test_acc,10,0.000390625,-0.003438547280872824,0.004219797280872824
two_concepts,TinyCNN,template_release,template_init,late_ce_slope,10,-6.58043773662776e-05,-7.921352741533172e-05,-5.239522731722347e-05
two_concepts,TinyCNN,template_release,random_unitnorm,early_acc,10,-0.0884375,-0.11371484280195958,-0.06316015719804043
two_concepts,TinyCNN,template_release,random_unitnorm,first95,10,21.0,10.42174415869897,31.57825584130103
two_concepts,TinyCNN,template_release,random_unitnorm,id_acc,10,-0.00078125,-0.005674710591311174,0.004112210591311174
two_concepts,TinyCNN,template_release,random_unitnorm,alignment,10,0.35817591278305916,0.3345153396195144,0.3818364859466039
two_concepts,TinyCNN,template_release,random_unitnorm,semantic_auc,10,-0.0019393920898437389,-0.008569113327960329,0.0046903291482728515
two_concepts,TinyCNN,template_release,random_unitnorm,localization_iou,10,0.04707011829109962,0.004528208966204372,0.08961202761599486
two_concepts,TinyCNN,template_release,random_unitnorm,causal_usefulness,10,0.11030420691714989,0.03136546086499499,0.18924295296930477
two_concepts,TinyCNN,template_release,random_unitnorm,cf_accuracy,10,0.1884765625,0.08801704582577732,0.2889360791742227
two_concepts,TinyCNN,template_release,random_unitnorm,refit_test_acc,10,0.0015625,-0.0039006204440525656,0.007025620444052565
two_concepts,TinyCNN,template_release,random_unitnorm,late_ce_slope,10,-9.198464670295543e-05,-0.00012013073807128316,-6.383855533462771e-05
two_concepts,TwoLayerCNN,template_init,random_unitnorm,early_acc,10,-0.016914062499999993,-0.05798814517850662,0.02416002017850663
two_concepts,TwoLayerCNN,template_init,random_unitnorm,first95,10,-0.3,-2.5634135679289436,1.9634135679289437
two_concepts,TwoLayerCNN,template_init,random_unitnorm,id_acc,10,0.001953125,-0.0030194802495888736,0.006925730249588874
two_concepts,TwoLayerCNN,template_init,random_unitnorm,alignment,10,0.5034124917145621,0.4809604162498269,0.5258645671792974
two_concepts,TwoLayerCNN,template_init,random_unitnorm,semantic_auc,10,-0.00070037841796875,-0.03685309803715774,0.03545234120122024
two_concepts,TwoLayerCNN,template_init,random_unitnorm,localization_iou,10,0.10785022875947221,0.09376525837548357,0.12193519914346086
two_concepts,TwoLayerCNN,template_init,random_unitnorm,causal_usefulness,10,-0.06171427328182054,-0.1151518956064492,-0.008276650957191871
two_concepts,TwoLayerCNN,template_init,random_unitnorm,cf_accuracy,10,-0.03984375,-0.09456698767134165,0.01487948767134166
two_concepts,TwoLayerCNN,template_init,random_unitnorm,refit_test_acc,10,0.001171875,-0.002790913021410669,0.0051346630214106695
two_concepts,TwoLayerCNN,template_init,random_unitnorm,late_ce_slope,10,-7.847798445536289e-06,-3.125826800859025e-05,1.5562671117517666e-05
two_concepts,TwoLayerCNN,template_release,template_retention_1,early_acc,10,0.0,0.0,0.0
two_concepts,TwoLayerCNN,template_release,template_retention_1,first95,10,0.0,0.0,0.0
two_concepts,TwoLayerCNN,template_release,template_retention_1,id_acc,10,0.00390625,0.0004210671204804379,0.007391432879519562
two_concepts,TwoLayerCNN,template_release,template_retention_1,alignment,10,-0.09228346303548429,-0.10050965908089854,-0.08405726699007005
two_concepts,TwoLayerCNN,template_release,template_retention_1,semantic_auc,10,-0.00491485595703125,-0.030522305819207632,0.020692593905145135
two_concepts,TwoLayerCNN,template_release,template_retention_1,localization_iou,10,-0.027518852500840713,-0.03847682761815774,-0.016560877383523687
two_concepts,TwoLayerCNN,template_release,template_retention_1,causal_usefulness,10,-0.05779993412167574,-0.0943987768085,-0.021201091434851486
two_concepts,TwoLayerCNN,template_release,template_retention_1,cf_accuracy,10,-0.0421875,-0.06589113626130223,-0.018483863738697776
two_concepts,TwoLayerCNN,template_release,template_retention_1,refit_test_acc,10,0.002734375,-0.0005056938530462354,0.0059744438530462355
two_concepts,TwoLayerCNN,template_release,template_retention_1,late_ce_slope,10,5.777843601133326e-05,2.7124819313267302e-05,8.843205270939922e-05
two_concepts,TwoLayerCNN,template_release,template_init,early_acc,10,-0.008242187500000008,-0.016311453072275293,-0.00017292192772472466
