,,,early_acc,early_acc,first95,first95,id_acc,id_acc,alignment,alignment,semantic_auc,semantic_auc,localization_iou,localization_iou,causal_usefulness,causal_usefulness,cf_accuracy,cf_accuracy,refit_test_acc,refit_test_acc,late_ce_slope,late_ce_slope
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
task,architecture,condition,,,,,,,,,,,,,,,,,,,,
single_shape,TinyCNN,random,0.7945703125,0.06319450555409513,8.7,1.828782229912694,1.0,0.0,0.3000495011265114,0.022577965175925144,0.9695576985677083,0.009315042572407123,0.33049863286778464,0.06280362918907599,0.2485510737542668,0.04913085981568282,0.27174479216337205,0.06495077893932964,1.0,0.0,-2.3467976361848827e-05,6.979326415288513e-06
single_shape,TinyCNN,random_unitnorm,0.8008984375000001,0.06895685077160695,8.2,1.7511900715418263,1.0,0.0,0.28813984867242626,0.02231131655873196,0.9705769856770834,0.010553201627663857,0.3398680429825284,0.0592919969419463,0.2719363168002505,0.05539945721070313,0.3071614533662796,0.06202938596331607,1.0,0.0,-2.5139907961431386e-05,7.140682036602436e-06
single_shape,TinyCNN,template_init,0.76234375,0.0735141536264966,7.7,1.828782229912694,1.0,0.0,0.6100607016189841,0.02110950950202182,0.9778889973958333,0.006071086871307534,0.4089818813048728,0.04064311948347214,0.319931266477981,0.05136233309187321,0.3546875,0.04792106313656847,1.0,0.0,-2.890339980770228e-05,5.83679377906399e-06
single_shape,TinyCNN,template_release,0.7569140625,0.07206700134481941,8.5,2.273030282830976,1.0,0.0,0.689672403182393,0.01658395047549607,0.9752095540364584,0.007415449758274875,0.4381057433824134,0.04963344289202759,0.3354065562591762,0.07769568820616841,0.3861979156732559,0.08816043174381472,1.0,0.0,-3.599598464604999e-05,9.841892854726308e-06
single_shape,TinyCNN,template_retention_1,0.7569140625,0.07206700134481941,8.5,2.273030282830976,0.999609375,0.001235264711003272,0.9589765781679558,0.0032900079770513337,0.93824462890625,0.007806729905634,0.544245135887614,0.037382045936165835,0.3577833912916334,0.048389983977870504,0.5016927063465119,0.05141736185318977,0.999609375,0.001235264711003272,-0.00037435482319136173,3.970602574908409e-05
single_shape,TwoLayerCNN,random,0.7929296875,0.03688986153705501,6.4,0.8432740427115678,1.0,0.0,0.2613756783916362,0.036582808101994935,0.8302958170572916,0.024647390440350046,0.3069597781778465,0.049634679570853456,0.01402827793859244,0.02387649347276076,0.027994792023673644,0.026438313798591087,1.0,0.0,-3.211449818484972e-06,2.001571249111199e-06
single_shape,TwoLayerCNN,random_unitnorm,0.8421484375,0.038414525830906314,5.7,0.6749485577105531,1.0,0.0,0.22819411456435557,0.03292216076237637,0.8384663899739584,0.018809377020347625,0.30786864376765466,0.059724320611386994,0.00415753925569813,0.03196777742026534,0.022786458162590832,0.01985410191944682,1.0,0.0,-3.2822401096514363e-06,1.7203303163723423e-06
single_shape,TwoLayerCNN,template_init,0.8755078125000001,0.03475662629325617,4.3,0.8232726023485646,1.0,0.0,0.7989108976998012,0.01459982388978036,0.839788818359375,0.016352855269157376,0.4703354398973133,0.023989213646228323,0.056245329179766136,0.06061306701715486,0.059244791592936955,0.06344604344781046,1.0,0.0,-2.48937449843436e-06,2.4933787436719836e-06
