task,architecture,block,condition,epoch,test_acc,causal_usefulness
single_shape,TinyCNN,2000,template_release,200,0.0,0.0
single_shape,TinyCNN,2000,template_retention_1,200,0.0,5.1810122192463837e-08
single_shape,TinyCNN,2001,template_release,200,0.0,9.857624855280633e-08
single_shape,TinyCNN,2001,template_retention_1,200,0.0,7.334484697363308e-08
single_shape,TinyCNN,2002,template_release,200,0.0,2.002926674515848e-08
single_shape,TinyCNN,2002,template_retention_1,200,0.0,-1.763527102127682e-08
single_shape,TinyCNN,2003,template_release,200,0.0,1.003486993500502e-08
single_shape,TinyCNN,2003,template_retention_1,200,0.0,5.8040287520544354e-08
single_shape,TinyCNN,2004,template_release,200,0.0,6.002754543432687e-08
single_shape,TinyCNN,2004,template_retention_1,200,0.0,-6.04652650171289e-09
single_shape,TinyCNN,2005,template_release,200,0.0,4.0146966751031243e-08
single_shape,TinyCNN,2005,template_retention_1,200,0.0,5.4291194873101745e-08
single_shape,TinyCNN,2006,template_release,200,0.0,-1.2075620614560023e-08
single_shape,TinyCNN,2006,template_retention_1,200,0.0,6.139617647615836e-09
single_shape,TinyCNN,2007,template_release,200,0.0,-2.056577383391378e-08
single_shape,TinyCNN,2007,template_retention_1,200,0.0,6.156899656772907e-09
single_shape,TinyCNN,2008,template_release,200,0.0,1.0030965946761228e-08
single_shape,TinyCNN,2008,template_retention_1,200,0.0,-7.625754644413618e-08
single_shape,TinyCNN,2009,template_release,200,0.0,2.005086824352631e-08
single_shape,TinyCNN,2009,template_retention_1,200,0.0,-4.235282269338114e-08
single_shape,TwoLayerCNN,2000,template_release,200,0.0,8.20491409675439e-08
single_shape,TwoLayerCNN,2000,template_retention_1,200,0.0,4.9956022707409176e-08
single_shape,TwoLayerCNN,2001,template_release,200,0.0,-9.4099065206521e-09
single_shape,TwoLayerCNN,2001,template_retention_1,200,0.0,9.202049988665806e-08
single_shape,TwoLayerCNN,2002,template_release,200,0.0,-4.971947080434358e-08
single_shape,TwoLayerCNN,2002,template_retention_1,200,0.0,0.0
single_shape,TwoLayerCNN,2003,template_release,200,0.0,-1.0400084575479251e-07
single_shape,TwoLayerCNN,2003,template_retention_1,200,0.0,-2.0083647578328367e-08
single_shape,TwoLayerCNN,2004,template_release,200,0.0,7.954296521450743e-08
single_shape,TwoLayerCNN,2004,template_retention_1,200,0.0,8.179069835301256e-08
single_shape,TwoLayerCNN,2005,template_release,200,0.0,-4.9784009054087974e-08
single_shape,TwoLayerCNN,2005,template_retention_1,200,0.0,-3.0092646818857816e-08
single_shape,TwoLayerCNN,2006,template_release,200,0.0,5.307196503101519e-08
single_shape,TwoLayerCNN,2006,template_retention_1,200,0.0,5.988226664532803e-08
single_shape,TwoLayerCNN,2007,template_release,200,0.0,6.536520122391032e-08
single_shape,TwoLayerCNN,2007,template_retention_1,200,0.0,8.019826291949528e-08
single_shape,TwoLayerCNN,2008,template_release,200,0.0,-7.959203041085772e-08
single_shape,TwoLayerCNN,2008,template_retention_1,200,0.0,-3.70909556263177e-08
single_shape,TwoLayerCNN,2009,template_release,200,0.0,0.0
single_shape,TwoLayerCNN,2009,template_retention_1,200,0.0,-4.994335237040737e-08
two_concepts,TinyCNN,2000,template_release,200,0.0,3.0692405061927275e-08
two_concepts,TinyCNN,2000,template_retention_1,200,0.0,-2.8349717684506004e-08
two_concepts,TinyCNN,2001,template_release,200,0.0,-5.0926726502531494e-08
two_concepts,TinyCNN,2001,template_retention_1,200,0.0,7.052085027048349e-09
two_concepts,TinyCNN,2002,template_release,200,0.0,7.742207885907959e-08
two_concepts,TinyCNN,2002,template_retention_1,200,0.0,2.189129078011831e-08
two_concepts,TinyCNN,2003,template_release,200,0.0,5.6781559676366555e-08
two_concepts,TinyCNN,2003,template_retention_1,200,0.0,-2.0406264233940874e-08
two_concepts,TinyCNN,2004,template_release,200,0.0,1.2099837465306962e-08
two_concepts,TinyCNN,2004,template_retention_1,200,0.0,-7.087354592094641e-09
two_concepts,TinyCNN,2005,template_release,200,0.0,1.9506132264979215e-09
two_concepts,TinyCNN,2005,template_retention_1,200,0.0,-1.0313273679507517e-08
two_concepts,TinyCNN,2006,template_release,200,0.0,1.1922955955867565e-08
two_concepts,TinyCNN,2006,template_retention_1,200,0.0,-7.897891285413294e-08
two_concepts,TinyCNN,2007,template_release,200,0.0,4.163127498291175e-08
two_concepts,TinyCNN,2007,template_retention_1,200,0.0,-5.035806660558251e-08
two_concepts,TinyCNN,2008,template_release,200,0.0,-9.024188885042861e-08
two_concepts,TinyCNN,2008,template_retention_1,200,0.0,-5.2299236608099875e-08
two_concepts,TinyCNN,2009,template_release,200,0.0,7.874575769228898e-09
two_concepts,TinyCNN,2009,template_retention_1,200,0.0,1.354657885865862e-08
two_concepts,TwoLayerCNN,2000,template_release,200,0.0,-1.2883508698768864e-07
two_concepts,TwoLayerCNN,2000,template_retention_1,200,0.0,1.5760220739569064e-08
two_concepts,TwoLayerCNN,2001,template_release,200,0.0,-3.132996445609493e-08
two_concepts,TwoLayerCNN,2001,template_retention_1,200,0.0,-1.4683244120572425e-08
two_concepts,TwoLayerCNN,2002,template_release,200,0.0,-8.24595994264321e-09
two_concepts,TwoLayerCNN,2002,template_retention_1,200,0.0,1.607284255689123e-08
two_concepts,TwoLayerCNN,2003,template_release,200,0.0,-2.987419261968327e-08
two_concepts,TwoLayerCNN,2003,template_retention_1,200,0.0,5.3452682918786465e-08
two_concepts,TwoLayerCNN,2004,template_release,200,0.0,-4.6908570056070076e-08
two_concepts,TwoLayerCNN,2004,template_retention_1,200,0.0,3.130283526830979e-08
two_concepts,TwoLayerCNN,2005,template_release,200,0.0,-1.0121633656212659e-08
two_concepts,TwoLayerCNN,2005,template_retention_1,200,0.0,6.183259060321689e-08
two_concepts,TwoLayerCNN,2006,template_release,200,0.0,-2.1702825786507063e-08
two_concepts,TwoLayerCNN,2006,template_retention_1,200,0.0,1.6856758822125784e-08
two_concepts,TwoLayerCNN,2007,template_release,200,0.0,-3.9878846586072214e-08
two_concepts,TwoLayerCNN,2007,template_retention_1,200,0.0,-5.3008598510650984e-08
two_concepts,TwoLayerCNN,2008,template_release,200,0.0,1.4226629499458632e-08
two_concepts,TwoLayerCNN,2008,template_retention_1,200,0.0,1.0470225797476473e-09
two_concepts,TwoLayerCNN,2009,template_release,200,0.0,0.0
two_concepts,TwoLayerCNN,2009,template_retention_1,200,0.0,-2.4339870174916456e-08
