task,architecture,block,condition,epoch,method,k,selection_valid,fidelity,cf_accuracy,agreement,cf_accuracy_both_correct,random_fidelity,random_cf_accuracy,causal_usefulness,test_acc
single_shape,TinyCNN,2000,template_release,200,contrast,1,True,0.02077613364065889,0.0013020833721384406,0.0013020833721384406,0.0013020833721384406,0.011541110177435351,0.0,0.009235023463223538,1.0
single_shape,TinyCNN,2000,template_release,200,auroc,1,True,0.0271681967860663,0.0013020833721384406,0.0013020833721384406,0.0013020833721384406,0.011541110177435351,0.0,0.01562708660863095,1.0
single_shape,TinyCNN,2000,template_release,200,validation_patch,1,True,0.04402257084807171,0.0013020833721384406,0.0013020833721384406,0.0013020833721384406,0.011541110177435351,0.0,0.032481460670636356,1.0
single_shape,TinyCNN,2000,template_release,200,contrast,2,True,0.12799119741424847,0.0221354179084301,0.0221354179084301,0.0221354179084301,0.03317893534287353,0.0008138021075865254,0.09481226207137494,1.0
single_shape,TinyCNN,2000,template_release,200,auroc,2,True,0.10705323735596528,0.01692708395421505,0.01692708395421505,0.01692708395421505,0.03317893534287353,0.0008138021075865254,0.07387430201309175,1.0
single_shape,TinyCNN,2000,template_release,200,validation_patch,2,True,0.2430922858937663,0.08984375,0.08984375,0.08984375,0.03317893534287353,0.0008138021075865254,0.20991335055089277,1.0
single_shape,TinyCNN,2000,template_release,200,contrast,4,True,0.4561903586488024,0.2708333432674408,0.2708333432674408,0.2708333432674408,0.18785337257021328,0.09667968866415322,0.26833698607858913,1.0
single_shape,TinyCNN,2000,template_release,200,auroc,4,True,0.4561903586488024,0.2708333432674408,0.2708333432674408,0.2708333432674408,0.18785337257021328,0.09667968866415322,0.26833698607858913,1.0
single_shape,TinyCNN,2000,template_release,200,validation_patch,4,True,0.5853754879098632,0.4440104365348816,0.4440104365348816,0.4440104365348816,0.18785337257021328,0.09667968866415322,0.3975221153396499,1.0
single_shape,TinyCNN,2000,template_release,200,contrast,8,True,0.8870654490634878,0.8359375,0.8359375,0.8359375,0.5816802546821589,0.4329427182674408,0.30538519438132894,1.0
