task,architecture,epoch,method,k,metric,n,mean,ci_low,ci_high
single_shape,TinyCNN,200,auroc,1,causal_usefulness,10,-0.07639155157421329,-0.0984166844175336,-0.05436641873089298
single_shape,TinyCNN,200,auroc,1,cf_accuracy,10,-0.025520834093913435,-0.04376402775464086,-0.007277640433186013
single_shape,TinyCNN,200,auroc,2,causal_usefulness,10,-0.10709290605782869,-0.13369712922516372,-0.08048868289049366
single_shape,TinyCNN,200,auroc,2,cf_accuracy,10,-0.07838542200624943,-0.10105633963640757,-0.05571450437609128
single_shape,TinyCNN,200,auroc,4,causal_usefulness,10,-0.030918548912520834,-0.07736637294818158,0.015529275123139917
single_shape,TinyCNN,200,auroc,4,cf_accuracy,10,-0.1272135406732559,-0.17819557480232084,-0.07623150654419099
single_shape,TinyCNN,200,auroc,8,causal_usefulness,10,0.025526134480010267,-0.005673605133711804,0.05672587409373234
single_shape,TinyCNN,200,auroc,8,cf_accuracy,10,-0.02200521230697632,-0.06008347915858124,0.0160730545446286
single_shape,TinyCNN,200,contrast,1,causal_usefulness,10,-0.06157995896384546,-0.08520255273208,-0.037957365195610916
single_shape,TinyCNN,200,contrast,1,cf_accuracy,10,-0.01627604184905067,-0.032218459842728406,-0.0003336238553729408
single_shape,TinyCNN,200,contrast,2,causal_usefulness,10,-0.12516800400079248,-0.16607476881174937,-0.0842612391898356
single_shape,TinyCNN,200,contrast,2,cf_accuracy,10,-0.08033854681998491,-0.11808780178402042,-0.042589291855949396
single_shape,TinyCNN,200,contrast,4,causal_usefulness,10,-0.02237682315600365,-0.08735014730008456,0.04259650098807726
single_shape,TinyCNN,200,contrast,4,cf_accuracy,10,-0.11549479365348816,-0.1782004961227392,-0.052789091184237136
single_shape,TinyCNN,200,contrast,8,causal_usefulness,10,0.03124513479517057,0.004195766538678678,0.058294503051662463
single_shape,TinyCNN,200,contrast,8,cf_accuracy,10,-0.012239587306976319,-0.044200528473831935,0.019721353859879293
single_shape,TinyCNN,200,validation_patch,1,causal_usefulness,10,-0.09551781329113444,-0.1143591223900987,-0.07667650419217019
single_shape,TinyCNN,200,validation_patch,1,cf_accuracy,10,-0.038281251187436284,-0.05830306620872201,-0.018259436166150552
single_shape,TinyCNN,200,validation_patch,2,causal_usefulness,10,-0.058989782245159585,-0.09906424685889498,-0.01891531763142419
single_shape,TinyCNN,200,validation_patch,2,cf_accuracy,10,-0.069140625,-0.10661409333947547,-0.031667156660524526
single_shape,TinyCNN,200,validation_patch,4,causal_usefulness,10,0.024040529532724016,-0.030141845490226256,0.0782229045556743
single_shape,TinyCNN,200,validation_patch,4,cf_accuracy,10,-0.04036458432674408,-0.10825788892106261,0.027528720267574462
single_shape,TinyCNN,200,validation_patch,8,causal_usefulness,10,0.043032780994939714,0.015620949974487031,0.0704446120153924
single_shape,TinyCNN,200,validation_patch,8,cf_accuracy,10,-1.1920928955078126e-08,-0.031194073888076827,0.031194050046218915
single_shape,TwoLayerCNN,200,auroc,1,causal_usefulness,10,0.0019354355459112848,-5.940464193939757e-05,0.003930275733761967
single_shape,TwoLayerCNN,200,auroc,1,cf_accuracy,10,-0.0005208333488553763,-0.0016990402395927419,0.0006573735418819893
single_shape,TwoLayerCNN,200,auroc,2,causal_usefulness,10,0.0010894466366604127,-0.005444841341619465,0.007623734614940291
single_shape,TwoLayerCNN,200,auroc,2,cf_accuracy,10,-0.0006510417209938168,-0.001912236811516224,0.0006101533695285903
single_shape,TwoLayerCNN,200,auroc,4,causal_usefulness,10,-0.013855939221602106,-0.06682794638970938,0.03911606794650517
single_shape,TwoLayerCNN,200,auroc,4,cf_accuracy,10,-0.02161458311602473,-0.08178489873109404,0.03855573249904457
single_shape,TwoLayerCNN,200,auroc,8,causal_usefulness,10,0.05278697684783399,-0.0067400729062890435,0.11231402660195702
single_shape,TwoLayerCNN,200,auroc,8,cf_accuracy,10,0.04388020932674408,-0.021724058701425214,0.10948447735491337
single_shape,TwoLayerCNN,200,contrast,1,causal_usefulness,10,0.0016181834449273957,-0.0002593223639153592,0.0034956892537701505
single_shape,TwoLayerCNN,200,contrast,1,cf_accuracy,10,-0.0005208333488553763,-0.0016990402395927419,0.0006573735418819893
single_shape,TwoLayerCNN,200,contrast,2,causal_usefulness,10,-0.0014837509922342284,-0.008967125553998553,0.005999623569530096
single_shape,TwoLayerCNN,200,contrast,2,cf_accuracy,10,-0.0011718750232830645,-0.0027211908789075475,0.0003774408323414188
single_shape,TwoLayerCNN,200,contrast,4,causal_usefulness,10,-0.006623220416642414,-0.05205704395679056,0.03881060312350573
single_shape,TwoLayerCNN,200,contrast,4,cf_accuracy,10,-0.024088541604578496,-0.084106541773527,0.03592945856437001
single_shape,TwoLayerCNN,200,contrast,8,causal_usefulness,10,0.0502656951946065,-0.004170845821293678,0.10470223621050667
single_shape,TwoLayerCNN,200,contrast,8,cf_accuracy,10,0.04023436903953552,-0.029464376197315623,0.10993311427638666
single_shape,TwoLayerCNN,200,validation_patch,1,causal_usefulness,10,-0.012608279042097353,-0.0181944824798939,-0.007022075604300808
single_shape,TwoLayerCNN,200,validation_patch,1,cf_accuracy,10,-0.001171875069849193,-0.00320549118615108,0.0008617410464526942
single_shape,TwoLayerCNN,200,validation_patch,2,causal_usefulness,10,-0.017011785871947755,-0.0345587844946148,0.0005352127507192959
single_shape,TwoLayerCNN,200,validation_patch,2,cf_accuracy,10,-0.003125000325962901,-0.010945273408761436,0.004695272756835635
single_shape,TwoLayerCNN,200,validation_patch,4,causal_usefulness,10,0.00170862257632753,-0.05301389707130717,0.05643114222396223
single_shape,TwoLayerCNN,200,validation_patch,4,cf_accuracy,10,-0.011197914835065603,-0.07209283741878825,0.04969700774865705
single_shape,TwoLayerCNN,200,validation_patch,8,causal_usefulness,10,0.09195104841791099,0.04368795156539548,0.1402141452704265
single_shape,TwoLayerCNN,200,validation_patch,8,cf_accuracy,10,0.1203125,0.08045612728200444,0.16016887271799557
two_concepts,TinyCNN,200,auroc,1,causal_usefulness,10,-0.2922910246518683,-0.3959631143141061,-0.1886189349896305
two_concepts,TinyCNN,200,auroc,1,cf_accuracy,10,-0.230078125,-0.3161603279533286,-0.14399592204667136
two_concepts,TinyCNN,200,auroc,2,causal_usefulness,10,-0.12536110867722244,-0.2228159670838623,-0.027906250270582564
two_concepts,TinyCNN,200,auroc,2,cf_accuracy,10,-0.217578125,-0.34418603208621446,-0.0909702179137856
two_concepts,TinyCNN,200,auroc,4,causal_usefulness,10,0.06058982368782466,0.022967406885639904,0.09821224049000941
two_concepts,TinyCNN,200,auroc,4,cf_accuracy,10,-0.0310546875,-0.0789926961496263,0.016883321149626294
two_concepts,TinyCNN,200,auroc,8,causal_usefulness,10,0.040496472336680314,0.025910592046078436,0.05508235262728219
two_concepts,TinyCNN,200,auroc,8,cf_accuracy,10,0.0146484375,0.008748205660809708,0.020548669339190292
two_concepts,TinyCNN,200,contrast,1,causal_usefulness,10,-0.3351642586149152,-0.42501863740642853,-0.2453098798234019
two_concepts,TinyCNN,200,contrast,1,cf_accuracy,10,-0.25546875,-0.333195807263836,-0.17774169273616405
two_concepts,TinyCNN,200,contrast,2,causal_usefulness,10,-0.10107579880426718,-0.20067559562617643,-0.0014760019823579218
two_concepts,TinyCNN,200,contrast,2,cf_accuracy,10,-0.1845703125,-0.3204146282619002,-0.0487259967380998
two_concepts,TinyCNN,200,contrast,4,causal_usefulness,10,0.06083068878750343,0.026977726973743454,0.09468365060126341
two_concepts,TinyCNN,200,contrast,4,cf_accuracy,10,-0.0296875,-0.06950540117651471,0.010130401176514717
two_concepts,TinyCNN,200,contrast,8,causal_usefulness,10,0.03981215333123246,0.02481971028564897,0.05480459637681595
two_concepts,TinyCNN,200,contrast,8,cf_accuracy,10,0.01328125,0.007039811082404774,0.019522688917595225
two_concepts,TinyCNN,200,validation_patch,1,causal_usefulness,10,-0.23706051144292042,-0.28317956932364624,-0.1909414535621946
two_concepts,TinyCNN,200,validation_patch,1,cf_accuracy,10,-0.1939453125,-0.2420846967098591,-0.14580592829014088
two_concepts,TinyCNN,200,validation_patch,2,causal_usefulness,10,-0.059537593491706745,-0.09782213931904486,-0.021253047664368627
two_concepts,TinyCNN,200,validation_patch,2,cf_accuracy,10,-0.1470703125,-0.20492573545673454,-0.08921488954326545
two_concepts,TinyCNN,200,validation_patch,4,causal_usefulness,10,0.06716990920263391,0.044023530650928525,0.0903162877543393
two_concepts,TinyCNN,200,validation_patch,4,cf_accuracy,10,-0.0205078125,-0.04610374631253636,0.005088121312536359
two_concepts,TinyCNN,200,validation_patch,8,causal_usefulness,10,0.03833326045226254,0.02287741204853607,0.05378910885598901
two_concepts,TinyCNN,200,validation_patch,8,cf_accuracy,10,0.012890625,0.00677557251101,0.01900567748899
two_concepts,TwoLayerCNN,200,auroc,1,causal_usefulness,10,-0.002776032563340787,-0.010064814534523481,0.004512749407841908
two_concepts,TwoLayerCNN,200,auroc,1,cf_accuracy,10,-0.002734375,-0.00623198281324336,0.0007632328132433602
two_concepts,TwoLayerCNN,200,auroc,2,causal_usefulness,10,0.003375802893965117,-0.009270656434094256,0.016022262222024488
two_concepts,TwoLayerCNN,200,auroc,2,cf_accuracy,10,-0.002734375,-0.0085213979734881,0.0030526479734881004
two_concepts,TwoLayerCNN,200,auroc,4,causal_usefulness,10,-0.053862068067198274,-0.0923862304819548,-0.015337905652441745
two_concepts,TwoLayerCNN,200,auroc,4,cf_accuracy,10,-0.040625,-0.06515251063911529,-0.016097489360884714
two_concepts,TwoLayerCNN,200,auroc,8,causal_usefulness,10,0.01085444194497126,-0.107947349041693,0.12965623293163553
two_concepts,TwoLayerCNN,200,auroc,8,cf_accuracy,10,0.0064453125,-0.12080997664654194,0.13370060164654193
