task,architecture,block,condition,epoch,optimizer_steps,lambda_retention,train_ce,train_acc,retention_penalty,val_ce,val_acc,alignment,kernel_norm,conv_gradient_norm,val_pooled_feature_norm,train_seconds
single_shape,TinyCNN,block2000,random,1,4,0.0,1.365933746099472,0.287109375,0.0,1.299111247062683,0.66796875,0.18347714111939628,2.3198821544647217,0.35268013179302216,1.977513074874878,0.3894577570000024
single_shape,TinyCNN,block2000,random,2,8,0.0,1.280737191438675,0.724609375,0.0,1.235854983329773,0.75,0.1935749485123967,2.379298210144043,0.29758044332265854,2.1372058391571045,0.160654371999982
single_shape,TinyCNN,block2000,random,3,12,0.0,1.2261219024658203,0.701171875,0.0,1.1874237060546875,0.765625,0.21058302399051343,2.462186574935913,0.2617947421967983,2.3501951694488525,0.12164399200000275
single_shape,TinyCNN,block2000,random,4,16,0.0,1.175557941198349,0.771484375,0.0,1.1378108263015747,0.83984375,0.22834215779305242,2.564302444458008,0.23877210542559624,2.5730507373809814,0.11196501699998862
single_shape,TinyCNN,block2000,random,5,20,0.0,1.125724345445633,0.8359375,0.0,1.0874165296554565,0.8671875,0.2424155399660166,2.683281898498535,0.24245649203658104,2.8009698390960693,0.11376332200001116
single_shape,TinyCNN,block2000,random,6,24,0.0,1.0731036067008972,0.873046875,0.0,1.0338587760925293,0.9375,0.2540521300974552,2.8148488998413086,0.23924348503351212,3.0247483253479004,0.15258922300000677
single_shape,TinyCNN,block2000,random,7,28,0.0,1.0187109112739563,0.94921875,0.0,0.9751834273338318,0.98828125,0.2626594571693469,2.962416410446167,0.22103120759129524,3.2621231079101562,0.09572383700000842
single_shape,TinyCNN,block2000,random,8,32,0.0,0.9601742327213287,0.9921875,0.0,0.9124141931533813,0.99609375,0.2701659028580923,3.1263620853424072,0.23603251948952675,3.5189647674560547,0.1048007210000037
single_shape,TinyCNN,block2000,random,9,36,0.0,0.8983296900987625,1.0,0.0,0.8459434509277344,1.0,0.2769520560047173,3.303414821624756,0.24316931515932083,3.7944259643554688,0.11515005999999062
single_shape,TinyCNN,block2000,random,10,40,0.0,0.8329605162143707,1.0,0.0,0.7771865129470825,1.0,0.28380630535608803,3.4912285804748535,0.2312464453279972,4.086415767669678,0.1225644310000007
single_shape,TinyCNN,block2000,random,11,44,0.0,0.7660649567842484,1.0,0.0,0.7075428366661072,1.0,0.28920029581130896,3.6881351470947266,0.23165560886263847,4.3932061195373535,0.15841250599999057
single_shape,TinyCNN,block2000,random,12,48,0.0,0.6978484988212585,1.0,0.0,0.6373813152313232,1.0,0.2936717450751696,3.893597364425659,0.22431834414601326,4.707193374633789,0.12123725500001115
single_shape,TinyCNN,block2000,random,13,52,0.0,0.6282844096422195,1.0,0.0,0.5683926939964294,1.0,0.2959226737688938,4.106070518493652,0.21916916221380234,5.02900505065918,0.11965655699998479
single_shape,TinyCNN,block2000,random,14,56,0.0,0.5609917640686035,1.0,0.0,0.5026401281356812,1.0,0.2978281236895777,4.320668697357178,0.21570375561714172,5.3528923988342285,0.11722067100001254
single_shape,TinyCNN,block2000,random,15,60,0.0,0.49646127969026566,1.0,0.0,0.4399658143520355,1.0,0.2995524391591838,4.534226894378662,0.20242994278669357,5.671826362609863,0.12235716299997534
single_shape,TinyCNN,block2000,random,16,64,0.0,0.4355101138353348,1.0,0.0,0.38169270753860474,1.0,0.30118018186429196,4.746892929077148,0.188581682741642,5.982738494873047,0.12821118899998396
single_shape,TinyCNN,block2000,random,17,68,0.0,0.3797808736562729,1.0,0.0,0.32934972643852234,1.0,0.3023644217697917,4.956167697906494,0.17411329224705696,6.2853474617004395,0.11455866700001138
single_shape,TinyCNN,block2000,random,18,72,0.0,0.33007345348596573,1.0,0.0,0.2831253409385681,1.0,0.3030258762691992,5.1584038734436035,0.16432932391762733,6.579061985015869,0.13037381500001288
single_shape,TinyCNN,block2000,random,19,76,0.0,0.28581608831882477,1.0,0.0,0.2433384656906128,1.0,0.30377769458794207,5.35288143157959,0.15422705188393593,6.859796047210693,0.12336634700000104
single_shape,TinyCNN,block2000,random,20,80,0.0,0.2473408728837967,1.0,0.0,0.20939399302005768,1.0,0.30460106946222554,5.537919044494629,0.13298208639025688,7.1249895095825195,0.12419729699999493
single_shape,TinyCNN,block2000,random,21,84,0.0,0.2149188257753849,1.0,0.0,0.18074524402618408,1.0,0.30533623960064527,5.712884426116943,0.12283948808908463,7.37321138381958,0.16347258799999054
single_shape,TinyCNN,block2000,random,22,88,0.0,0.18701940029859543,1.0,0.0,0.1567576825618744,1.0,0.30601998399211533,5.876789569854736,0.11095511168241501,7.6038126945495605,0.11614578800001141
single_shape,TinyCNN,block2000,random,23,92,0.0,0.16388743743300438,1.0,0.0,0.13635528087615967,1.0,0.306679714664901,6.031172275543213,0.10241712629795074,7.81960916519165,0.11112709500000051
single_shape,TinyCNN,block2000,random,24,96,0.0,0.1440432034432888,1.0,0.0,0.11935270577669144,1.0,0.3072959406548981,6.173936367034912,0.09047533199191093,8.020478248596191,0.1155889009999953
single_shape,TinyCNN,block2000,random,25,100,0.0,0.1275189407169819,1.0,0.0,0.10535614937543869,1.0,0.3077507949571906,6.305768966674805,0.08238599821925163,8.205997467041016,0.12673764199999482
single_shape,TinyCNN,block2000,random,26,104,0.0,0.11357199400663376,1.0,0.0,0.09350501000881195,1.0,0.3081621119067129,6.428886890411377,0.072955422103405,8.378704071044922,0.10947183700000096
