task,architecture,block,condition,original_U,refit_U,delta_U,original_cf_accuracy,refit_cf_accuracy,original_acc,refit_acc,selected_refit_converged
two_concepts,TwoLayerCNN,0,frozen_spectrum,0.030900890221317145,-0.010459906118482826,-0.04136079633979997,0.1328125,0.0703125,0.97265625,0.984375,True
two_concepts,TwoLayerCNN,9,template_retention_1,0.06525948025231243,0.08668713168309186,0.021427651430779432,0.197265625,0.134765625,0.9375,0.96484375,True
two_concepts,TwoLayerCNN,3,template_init,0.12621499865229008,0.053406354846607676,-0.0728086438056824,0.107421875,0.07421875,0.9921875,1.0,True
two_concepts,TwoLayerCNN,5,frozen_spectrum,0.17556386709292848,0.19475119049532497,0.019187323402396483,0.3125,0.306640625,0.9765625,0.99609375,True
two_concepts,TwoLayerCNN,1,frozen_random_unitnorm,0.02090417634147157,0.028840702390920833,0.007936526049449263,0.130859375,0.087890625,0.98828125,0.99609375,True
single_shape,TinyCNN,7,frozen_random_unitnorm,0.1435816917134809,0.31930219506184665,0.17572050334836575,0.3763020932674408,0.5104166865348816,0.7109375,0.97265625,True
single_shape,TinyCNN,9,template_init,0.2921585558378581,0.37052506642380956,0.07836651058595145,0.3463541567325592,0.3971354067325592,1.0,1.0,True
single_shape,TwoLayerCNN,7,template_init,0.008746935520553778,-0.017608238246332814,-0.02635517376688659,0.01171875,0.0013020833721384406,1.0,1.0,True
single_shape,TwoLayerCNN,1,frozen_templates,0.07705579658222222,0.09942884225695822,0.022373045674735997,0.1614583283662796,0.09765625,1.0,1.0,True
single_shape,TinyCNN,4,template_init,0.2577502329913458,0.3458245052217651,0.0880742722304193,0.4153645932674408,0.3958333432674408,1.0,1.0,True
two_concepts,TwoLayerCNN,1,template_retention_1,0.03620312841343237,-0.0699086581165202,-0.10611178652995257,0.10546875,0.078125,0.9921875,0.9921875,True
two_concepts,TinyCNN,1,template_init,0.5144190233382538,0.5323006939977535,0.017881670659499638,0.755859375,0.62890625,0.9765625,0.98828125,True
two_concepts,TinyCNN,5,frozen_spectrum,0.41099863683321824,0.31328820403100455,-0.0977104328022137,0.455078125,0.56640625,0.55078125,0.80859375,True
single_shape,TinyCNN,7,template_retention_1,0.1890607003723137,0.4138698590944399,0.2248091587221262,0.39453125,0.5,0.9921875,1.0,True
two_concepts,TinyCNN,5,template_retention_1,0.49885646079248847,0.5889363449142709,0.09007988412178247,0.703125,0.751953125,0.9609375,0.99609375,True
single_shape,TwoLayerCNN,9,frozen_random_unitnorm,0.015068231165426715,0.005583059374709903,-0.009485171790716812,0.0078125,0.010416666977107525,0.99609375,1.0,True
two_concepts,TinyCNN,5,frozen_templates,0.7776214914466804,0.5460490065627437,-0.23157248488393667,0.482421875,0.576171875,0.4921875,0.85546875,True
single_shape,TwoLayerCNN,9,frozen_templates,0.007001131125430271,0.029777770792857622,0.02277663966742735,0.0768229141831398,0.0716145858168602,1.0,1.0,True
single_shape,TwoLayerCNN,2,template_retention_1,-0.03237676204801765,0.007320970210471706,0.039697732258489354,0.03125,0.0611979179084301,1.0,1.0,True
two_concepts,TinyCNN,0,frozen_spectrum,0.5133036365833974,0.5740959910610242,0.060792354477626764,0.412109375,0.638671875,0.46484375,0.78515625,True
single_shape,TinyCNN,2,frozen_templates,0.20378518239643745,0.35202033991491244,0.148235157518475,0.5299479365348816,0.5533854365348816,0.82421875,1.0,True
single_shape,TinyCNN,2,frozen_random_unitnorm,0.36922068223088333,0.4570293956869049,0.08780871345602159,0.4791666567325592,0.625,0.87109375,0.9453125,True
two_concepts,TwoLayerCNN,4,frozen_random_unitnorm,-0.0714258046088822,-0.04156316682519705,0.029862637783685156,0.025390625,0.017578125,0.98828125,0.9921875,True
two_concepts,TwoLayerCNN,5,frozen_templates,0.08501478174226756,0.07664537367511895,-0.008369408067148615,0.0859375,0.146484375,0.98828125,1.0,True
single_shape,TwoLayerCNN,5,template_retention_1,0.05114778125711139,0.0812460909280922,0.030098309670980802,0.0455729179084301,0.0755208358168602,1.0,1.0,True
single_shape,TinyCNN,4,frozen_spectrum,0.4718591257914818,0.3181360915602467,-0.15372303423123512,0.5768229365348816,0.484375,0.76171875,1.0,True
single_shape,TwoLayerCNN,3,frozen_templates,0.012260410666112609,0.038210471994044926,0.025950061327932317,0.0729166641831398,0.08203125,1.0,1.0,True
single_shape,TinyCNN,8,template_retention_1,0.32879834817693626,0.40174408929040334,0.07294574111346708,0.4401041567325592,0.4479166567325592,1.0,1.0,True
single_shape,TinyCNN,8,frozen_templates,0.34276844240070486,0.44429713730869186,0.101528694907987,0.6315104365348816,0.5924479365348816,0.9375,1.0,True
