task,architecture,block,condition,alpha,success,iterations,gradient_max,train_acc,val_ce,val_acc,test_acc,gain_test
single_shape,TinyCNN,0,frozen_random_unitnorm,0.001,True,65,5.8037801944996886e-08,0.998046875,0.05544905046647747,0.98046875,0.984375,0.16015625
single_shape,TinyCNN,0,frozen_spectrum,0.001,True,83,1.3315236196465886e-07,0.994140625,0.05488148337950702,0.984375,0.9921875,0.1328125
single_shape,TinyCNN,0,frozen_templates,0.001,True,80,1.0338056876986609e-07,1.0,0.03539341749319019,0.9921875,1.0,0.1171875
single_shape,TinyCNN,0,random,0.0,True,23,7.206514681768018e-08,1.0,0.00018143241815594957,1.0,1.0,0.0
single_shape,TinyCNN,0,random_unitnorm,0.0,True,22,9.845213258728492e-08,1.0,0.0005926753108069227,1.0,1.0,0.0
single_shape,TinyCNN,0,spectrum_init,0.0,True,24,9.560542569270548e-08,1.0,7.041126764278927e-08,1.0,1.0,0.0
single_shape,TinyCNN,0,spectrum_retention_1,0.0,True,24,6.802989233229309e-08,1.0,3.3016229999960345e-08,1.0,1.0,0.0
single_shape,TinyCNN,0,template_init,0.001,True,28,8.669134212997264e-08,1.0,0.00985629462631077,0.99609375,1.0,0.0
single_shape,TinyCNN,0,template_retention_0.1,0.001,True,32,5.852779253910298e-08,1.0,0.006206134914990448,1.0,1.0,0.0
single_shape,TinyCNN,0,template_retention_1,0.0,True,23,4.727973473674434e-08,1.0,3.6730680982866026e-07,1.0,1.0,0.0
single_shape,TinyCNN,1,frozen_random_unitnorm,0.001,True,85,5.5863289246185777e-08,0.978515625,0.1824004064387255,0.94140625,0.9609375,0.21875
single_shape,TinyCNN,1,frozen_spectrum,0.001,True,101,1.2934961772081283e-07,0.994140625,0.0650502543502042,0.9921875,0.99609375,0.1484375
single_shape,TinyCNN,1,frozen_templates,0.001,True,82,9.097587097953218e-08,0.99609375,0.04295967684993257,0.99609375,1.0,0.078125
single_shape,TinyCNN,1,random,0.0,True,24,5.075740278222669e-08,1.0,1.2905881793857238e-05,1.0,1.0,0.0
single_shape,TinyCNN,1,random_unitnorm,0.0,True,23,7.581112458398447e-08,1.0,0.00023753067012853915,1.0,1.0,0.0
single_shape,TinyCNN,1,spectrum_init,0.0,True,23,3.378582528191331e-08,1.0,2.4178979160516256e-06,1.0,1.0,0.0
single_shape,TinyCNN,1,spectrum_retention_1,0.0,True,23,7.142156354775279e-08,1.0,0.007596374141175453,0.99609375,1.0,0.0
single_shape,TinyCNN,1,template_init,0.0,True,24,4.133406883679788e-08,1.0,1.3539019816384557e-05,1.0,0.99609375,-0.00390625
single_shape,TinyCNN,1,template_retention_0.1,0.0,True,25,9.701676194452735e-08,1.0,1.4074937673993343e-05,1.0,1.0,0.0
single_shape,TinyCNN,1,template_retention_1,0.0,True,24,8.381252307849166e-08,1.0,8.731321433830957e-05,1.0,1.0,0.0
single_shape,TinyCNN,2,frozen_random_unitnorm,0.001,True,70,7.20944246831827e-08,0.994140625,0.07069344399220145,0.9765625,0.9453125,0.07421875
single_shape,TinyCNN,2,frozen_spectrum,0.001,True,90,4.2067895735173875e-08,0.99609375,0.07478470462015563,0.9921875,0.99609375,0.16796875
single_shape,TinyCNN,2,frozen_templates,0.0,True,30,9.721528244555604e-08,1.0,0.003693085968718493,1.0,1.0,0.17578125
single_shape,TinyCNN,2,random,0.0,True,24,6.387805010044988e-08,1.0,3.270968850846434e-07,1.0,1.0,0.0
single_shape,TinyCNN,2,random_unitnorm,0.0,True,23,9.22886562327102e-08,1.0,7.191406553863633e-07,1.0,1.0,0.0
single_shape,TinyCNN,2,spectrum_init,0.0,True,24,4.577106976661482e-08,1.0,0.007936399388464204,0.99609375,1.0,0.0
single_shape,TinyCNN,2,spectrum_retention_1,0.001,True,45,5.936756094318291e-08,1.0,0.02197542835103487,0.99609375,1.0,0.0
single_shape,TinyCNN,2,template_init,0.0,True,24,9.130228560151574e-08,1.0,1.7778569115500797e-07,1.0,1.0,0.0
single_shape,TinyCNN,2,template_retention_0.1,0.0,True,24,5.9114596482806306e-08,1.0,4.865363795389377e-07,1.0,1.0,0.0
single_shape,TinyCNN,2,template_retention_1,0.0,True,25,6.47321642959363e-08,1.0,2.4827647755326643e-06,1.0,1.0,0.00390625
single_shape,TinyCNN,3,frozen_random_unitnorm,0.001,True,96,9.493093659556848e-08,0.935546875,0.11815412919566884,0.97265625,0.94921875,0.2734375
single_shape,TinyCNN,3,frozen_spectrum,0.001,True,73,9.021638661342331e-08,0.998046875,0.039198822199363534,0.9921875,1.0,0.1796875
single_shape,TinyCNN,3,frozen_templates,0.0,True,31,5.574955856368989e-08,1.0,0.03019786760897744,0.98828125,1.0,0.1796875
single_shape,TinyCNN,3,random,0.0,True,22,8.492045855589816e-08,1.0,1.2161059257109752e-06,1.0,1.0,0.0
single_shape,TinyCNN,3,random_unitnorm,0.0,True,24,7.357555613225415e-08,1.0,1.9820468104975175e-07,1.0,1.0,0.0
single_shape,TinyCNN,3,spectrum_init,0.0,True,23,7.150693639061908e-08,1.0,3.1706169929396344e-06,1.0,1.0,0.0
single_shape,TinyCNN,3,spectrum_retention_1,0.0,True,24,2.4695385437830167e-08,1.0,0.00010508192186042473,1.0,1.0,0.0
single_shape,TinyCNN,3,template_init,0.0,True,22,8.545558716546101e-08,1.0,8.54141732897079e-06,1.0,1.0,0.0
single_shape,TinyCNN,3,template_retention_0.1,0.0,True,22,9.619462254503623e-08,1.0,8.373545811929395e-06,1.0,1.0,0.0
single_shape,TinyCNN,3,template_retention_1,0.0,True,23,7.662519553017467e-08,1.0,2.870831531318063e-07,1.0,1.0,0.00390625
single_shape,TinyCNN,4,frozen_random_unitnorm,0.001,True,99,6.353621151530993e-08,0.9375,0.22550259307666543,0.91796875,0.9375,0.359375
single_shape,TinyCNN,4,frozen_spectrum,0.0,True,30,6.660846706462891e-08,1.0,0.04329018123150315,0.9921875,1.0,0.23828125
single_shape,TinyCNN,4,frozen_templates,0.0,True,33,9.463492686721162e-08,1.0,0.04694935517280777,0.9921875,1.0,0.140625
single_shape,TinyCNN,4,random,0.0,True,24,7.32203772825673e-08,1.0,7.04931305064993e-07,1.0,1.0,0.0
single_shape,TinyCNN,4,random_unitnorm,0.0,True,25,5.299980835614808e-08,1.0,1.1395009744986917e-05,1.0,1.0,0.0
single_shape,TinyCNN,4,spectrum_init,0.0,True,22,8.143521829287052e-08,1.0,9.67057360155843e-07,1.0,1.0,0.0
single_shape,TinyCNN,4,spectrum_retention_1,0.0,True,24,9.028759222368459e-08,1.0,0.00012959224767535027,1.0,1.0,0.0
single_shape,TinyCNN,4,template_init,0.0,True,23,5.28438048989089e-08,1.0,7.847555117887484e-07,1.0,1.0,0.0
single_shape,TinyCNN,4,template_retention_0.1,0.0,True,24,8.257311943544168e-08,1.0,1.0368076141520355e-06,1.0,1.0,0.0
single_shape,TinyCNN,4,template_retention_1,0.0,True,24,5.7018292476941815e-08,1.0,9.693944168706614e-07,1.0,1.0,0.00390625
single_shape,TinyCNN,5,frozen_random_unitnorm,0.001,True,80,8.757440150917312e-08,0.986328125,0.08392655798058504,0.98046875,0.9921875,0.21484375
single_shape,TinyCNN,5,frozen_spectrum,0.0,True,31,5.174174130547572e-08,1.0,0.035100657463647635,0.99609375,1.0,0.09765625
single_shape,TinyCNN,5,frozen_templates,0.001,True,84,9.363837233265706e-08,0.998046875,0.04662343051859792,0.99609375,1.0,0.2421875
single_shape,TinyCNN,5,random,0.0,True,24,5.5271422374190504e-08,1.0,1.680755310762283e-07,1.0,1.0,0.0
single_shape,TinyCNN,5,random_unitnorm,0.0,True,23,5.6175735354666186e-08,1.0,1.140479376077197e-07,1.0,1.0,0.0
single_shape,TinyCNN,5,spectrum_init,0.0,True,23,7.238444635584404e-08,1.0,2.7112613954632936e-07,1.0,1.0,0.0
single_shape,TinyCNN,5,spectrum_retention_1,0.0,True,24,8.361348881077514e-08,1.0,1.0469787291023103e-06,1.0,1.0,0.0
single_shape,TinyCNN,5,template_init,0.0,True,23,8.382346984600975e-08,1.0,6.700459113245794e-07,1.0,1.0,0.0
