task,architecture,condition,block,mean_val_acc_epochs_1_10,val_acc_epoch_5,val_acc_epoch_10,val_acc_epoch_20,val_acc_epoch_40,first_epoch_95,val_ce_improvement_31_40
single_shape,TinyCNN,frozen_random_unitnorm,block00,0.273828125,0.23828125,0.38671875,0.55078125,0.76953125,,0.04418492317199707
single_shape,TinyCNN,frozen_random_unitnorm,block01,0.36015625,0.34765625,0.42578125,0.4765625,0.75,,0.0359424352645874
single_shape,TinyCNN,frozen_random_unitnorm,block02,0.425390625,0.4375,0.5390625,0.63671875,0.87890625,,0.04323577880859375
single_shape,TinyCNN,frozen_random_unitnorm,block03,0.25390625,0.21875,0.25390625,0.3671875,0.75,,0.03504741191864014
single_shape,TinyCNN,frozen_random_unitnorm,block04,0.23828125,0.25,0.17578125,0.3515625,0.55859375,,0.029780268669128418
single_shape,TinyCNN,frozen_random_unitnorm,block05,0.246875,0.21484375,0.29296875,0.4453125,0.7265625,,0.043970704078674316
single_shape,TinyCNN,frozen_random_unitnorm,block06,0.435546875,0.3671875,0.515625,0.6640625,0.90234375,,0.0432206392288208
single_shape,TinyCNN,frozen_random_unitnorm,block07,0.394140625,0.46484375,0.4765625,0.59375,0.73046875,,0.0324021577835083
single_shape,TinyCNN,frozen_random_unitnorm,block08,0.5265625,0.52734375,0.62109375,0.6640625,0.84765625,,0.04039299488067627
single_shape,TinyCNN,frozen_random_unitnorm,block09,0.228515625,0.28125,0.18359375,0.20703125,0.4921875,,0.025494694709777832
single_shape,TinyCNN,frozen_spectrum,block00,0.162109375,0.25,0.08984375,0.55078125,0.84765625,,0.06699347496032715
single_shape,TinyCNN,frozen_spectrum,block01,0.324609375,0.33203125,0.40234375,0.5390625,0.828125,,0.04593074321746826
single_shape,TinyCNN,frozen_spectrum,block02,0.376171875,0.25,0.55859375,0.75390625,0.8828125,,0.06338870525360107
single_shape,TinyCNN,frozen_spectrum,block03,0.2625,0.24609375,0.25,0.4296875,0.75390625,,0.05044734477996826
single_shape,TinyCNN,frozen_spectrum,block04,0.281640625,0.27734375,0.3828125,0.5546875,0.796875,,0.04393935203552246
single_shape,TinyCNN,frozen_spectrum,block05,0.251171875,0.23828125,0.28515625,0.453125,0.89453125,,0.06034040451049805
single_shape,TinyCNN,frozen_spectrum,block06,0.280859375,0.2421875,0.3359375,0.484375,0.91796875,,0.05289196968078613
single_shape,TinyCNN,frozen_spectrum,block07,0.16796875,0.11328125,0.18359375,0.2421875,0.65234375,,0.044216275215148926
single_shape,TinyCNN,frozen_spectrum,block08,0.2875,0.27734375,0.39453125,0.59375,0.85546875,,0.05321931838989258
single_shape,TinyCNN,frozen_spectrum,block09,0.23359375,0.25,0.25,0.5234375,0.90234375,,0.057734131813049316
single_shape,TinyCNN,frozen_templates,block00,0.24453125,0.25,0.2421875,0.45703125,0.87890625,,0.06625187397003174
single_shape,TinyCNN,frozen_templates,block01,0.343359375,0.296875,0.5078125,0.6171875,0.91015625,,0.061102867126464844
single_shape,TinyCNN,frozen_templates,block02,0.38515625,0.29296875,0.52734375,0.56640625,0.8203125,,0.06334829330444336
single_shape,TinyCNN,frozen_templates,block03,0.24296875,0.25,0.21484375,0.2578125,0.84765625,,0.06447649002075195
single_shape,TinyCNN,frozen_templates,block04,0.3515625,0.53515625,0.3984375,0.53125,0.890625,,0.049227118492126465
single_shape,TinyCNN,frozen_templates,block05,0.320703125,0.3203125,0.390625,0.58984375,0.76171875,,0.0548551082611084
single_shape,TinyCNN,frozen_templates,block06,0.18984375,0.1796875,0.2109375,0.265625,0.87109375,,0.06318891048431396
single_shape,TinyCNN,frozen_templates,block07,0.370703125,0.40234375,0.48046875,0.60546875,0.6875,,0.054537057876586914
single_shape,TinyCNN,frozen_templates,block08,0.3984375,0.40625,0.41015625,0.62890625,0.90625,,0.064422607421875
single_shape,TinyCNN,frozen_templates,block09,0.283984375,0.4296875,0.2734375,0.5390625,0.84765625,,0.05638110637664795
single_shape,TinyCNN,random,block00,0.778125,0.77734375,0.984375,1.0,1.0,9.0,0.024789921939373016
single_shape,TinyCNN,random,block01,0.80625,0.80859375,0.95703125,1.0,1.0,10.0,0.038505297154188156
single_shape,TinyCNN,random,block02,0.7421875,0.7265625,0.984375,1.0,1.0,9.0,0.03572872653603554
single_shape,TinyCNN,random,block03,0.64375,0.50390625,0.9921875,1.0,1.0,8.0,0.03959251567721367
single_shape,TinyCNN,random,block04,0.6625,0.7109375,0.96875,1.0,1.0,10.0,0.04070799797773361
single_shape,TinyCNN,random,block05,0.774609375,0.765625,0.984375,0.99609375,1.0,9.0,0.03645822033286095
single_shape,TinyCNN,random,block06,0.850390625,0.796875,0.98046875,1.0,1.0,8.0,0.02683398500084877
single_shape,TinyCNN,random,block07,0.719140625,0.73828125,0.90234375,0.98828125,0.99609375,13.0,0.036819033324718475
single_shape,TinyCNN,random,block08,0.7859375,0.7578125,0.9609375,1.0,1.0,9.0,0.03253883868455887
single_shape,TinyCNN,random,block09,0.688671875,0.75390625,0.8828125,1.0,0.99609375,12.0,0.035583339631557465
single_shape,TinyCNN,random_unitnorm,block00,0.761328125,0.80859375,0.96484375,1.0,1.0,10.0,0.03310244157910347
single_shape,TinyCNN,random_unitnorm,block01,0.769921875,0.7578125,0.95703125,0.99609375,1.0,10.0,0.04035557806491852
single_shape,TinyCNN,random_unitnorm,block02,0.74609375,0.71875,0.98828125,1.0,1.0,9.0,0.03862493485212326
single_shape,TinyCNN,random_unitnorm,block03,0.623046875,0.5078125,0.9921875,1.0,1.0,9.0,0.04120909795165062
single_shape,TinyCNN,random_unitnorm,block04,0.648046875,0.578125,0.9453125,0.99609375,1.0,11.0,0.05131338909268379
single_shape,TinyCNN,random_unitnorm,block05,0.76015625,0.75,0.98046875,0.9921875,1.0,8.0,0.041333165019750595
single_shape,TinyCNN,random_unitnorm,block06,0.818359375,0.796875,0.98046875,1.0,1.0,9.0,0.03142191097140312
single_shape,TinyCNN,random_unitnorm,block07,0.694921875,0.7265625,0.89453125,0.9765625,0.99609375,13.0,0.05012795701622963
single_shape,TinyCNN,random_unitnorm,block08,0.813671875,0.7578125,0.9765625,1.0,1.0,8.0,0.032038364559412
single_shape,TinyCNN,random_unitnorm,block09,0.671875,0.61328125,0.859375,1.0,1.0,13.0,0.043594956398010254
single_shape,TinyCNN,spectrum_init,block00,0.748828125,0.90234375,1.0,1.0,1.0,7.0,0.03808760270476341
single_shape,TinyCNN,spectrum_init,block01,0.78203125,0.7109375,0.98046875,1.0,1.0,8.0,0.04932433366775513
single_shape,TinyCNN,spectrum_init,block02,0.75234375,0.7890625,0.9609375,0.99609375,0.99609375,8.0,0.06286804378032684
single_shape,TinyCNN,spectrum_init,block03,0.582421875,0.50390625,0.96875,1.0,1.0,10.0,0.07486764341592789
single_shape,TinyCNN,spectrum_init,block04,0.6609375,0.51171875,0.96875,1.0,1.0,8.0,0.08262361586093903
single_shape,TinyCNN,spectrum_init,block05,0.714453125,0.73046875,0.984375,1.0,1.0,10.0,0.06836771219968796
single_shape,TinyCNN,spectrum_init,block06,0.7265625,0.7421875,0.98828125,1.0,1.0,9.0,0.0612076073884964
single_shape,TinyCNN,spectrum_init,block07,0.634765625,0.63671875,0.8984375,0.98828125,0.99609375,13.0,0.07784639298915863
single_shape,TinyCNN,spectrum_init,block08,0.819140625,0.9140625,0.9921875,1.0,1.0,6.0,0.03626905754208565
single_shape,TinyCNN,spectrum_init,block09,0.58046875,0.5,0.87890625,1.0,1.0,12.0,0.07031149417161942
single_shape,TinyCNN,spectrum_retention_1,block00,0.73515625,0.8671875,0.9921875,0.98828125,1.0,8.0,0.08649301528930664
single_shape,TinyCNN,spectrum_retention_1,block01,0.779296875,0.71484375,0.96484375,0.99609375,1.0,8.0,0.09135916829109192
single_shape,TinyCNN,spectrum_retention_1,block02,0.739453125,0.7421875,0.9453125,0.99609375,0.99609375,11.0,0.08623477816581726
single_shape,TinyCNN,spectrum_retention_1,block03,0.56484375,0.45703125,0.921875,1.0,1.0,13.0,0.130118727684021
single_shape,TinyCNN,spectrum_retention_1,block04,0.668359375,0.54296875,0.93359375,0.99609375,1.0,8.0,0.10744696855545044
single_shape,TinyCNN,spectrum_retention_1,block05,0.714453125,0.7265625,0.97265625,0.99609375,1.0,10.0,0.11194241046905518
single_shape,TinyCNN,spectrum_retention_1,block06,0.725,0.73828125,0.98828125,1.0,1.0,9.0,0.08707994222640991
single_shape,TinyCNN,spectrum_retention_1,block07,0.61484375,0.6328125,0.8359375,0.9375,0.984375,23.0,0.1137317419052124
single_shape,TinyCNN,spectrum_retention_1,block08,0.81484375,0.90234375,0.99609375,1.0,0.99609375,6.0,0.06953659653663635
single_shape,TinyCNN,spectrum_retention_1,block09,0.5703125,0.5,0.8125,0.98828125,0.99609375,18.0,0.13091251254081726
single_shape,TinyCNN,template_init,block00,0.7390625,0.93359375,1.0,1.0,1.0,6.0,0.029928553849458694
single_shape,TinyCNN,template_init,block01,0.852734375,0.8984375,0.9921875,1.0,1.0,7.0,0.0407860167324543
single_shape,TinyCNN,template_init,block02,0.690625,0.546875,0.96484375,1.0,1.0,9.0,0.06271936744451523
single_shape,TinyCNN,template_init,block03,0.627734375,0.58984375,0.9921875,1.0,1.0,9.0,0.049734342843294144
single_shape,TinyCNN,template_init,block04,0.62890625,0.51953125,0.98046875,1.0,1.0,9.0,0.07695604115724564
single_shape,TinyCNN,template_init,block05,0.73046875,0.6796875,0.984375,1.0,1.0,8.0,0.056517548859119415
single_shape,TinyCNN,template_init,block06,0.693359375,0.73046875,1.0,1.0,1.0,8.0,0.04689595475792885
single_shape,TinyCNN,template_init,block07,0.641796875,0.73046875,0.88671875,0.984375,0.99609375,12.0,0.062014877796173096
single_shape,TinyCNN,template_init,block08,0.875390625,1.0,1.0,1.0,1.0,4.0,0.02914319932460785
