task,architecture,condition,mean_val_acc_epochs_1_10,val_acc_epoch_5,val_acc_epoch_10,val_acc_epoch_20,val_acc_epoch_40,first_epoch_95,val_ce_improvement_31_40
single_shape,TinyCNN,frozen_random_unitnorm,0.3383203125,0.334765625,0.387109375,0.495703125,0.740625,,0.03736720085144043
single_shape,TinyCNN,frozen_spectrum,0.2628125,0.24765625,0.31328125,0.5125,0.833203125,,0.05391017198562622
single_shape,TinyCNN,frozen_templates,0.313125,0.336328125,0.365625,0.505859375,0.8421875,,0.05977914333343506
single_shape,TinyCNN,random,0.74515625,0.733984375,0.959765625,0.9984375,0.99921875,9.7,0.03475578762590885
single_shape,TinyCNN,random_unitnorm,0.7307421875,0.7015625,0.95390625,0.99609375,0.999609375,10.0,0.04031217955052853
single_shape,TinyCNN,spectrum_init,0.7001953125,0.694140625,0.962109375,0.9984375,0.99921875,9.1,0.062177350372076036
single_shape,TinyCNN,spectrum_retention_1,0.69265625,0.682421875,0.936328125,0.98984375,0.997265625,11.4,0.10148558616638184
single_shape,TinyCNN,template_init,0.7144921875,0.716015625,0.980078125,0.9984375,0.999609375,8.2,0.051196078211069106
single_shape,TinyCNN,template_retention_0.1,0.7150000000000001,0.71640625,0.9796875,0.998046875,0.999609375,8.2,0.04887785911560059
single_shape,TinyCNN,template_retention_1,0.7073046875,0.71640625,0.96484375,0.994140625,0.996875,9.3,0.09017891883850097
single_shape,TwoLayerCNN,frozen_random_unitnorm,0.7919921875,0.81328125,0.98203125,0.997265625,1.0,7.9,0.02608423475176096
single_shape,TwoLayerCNN,frozen_spectrum,0.834765625,0.87734375,0.991015625,0.9984375,0.99921875,6.5,0.018788935057818888
single_shape,TwoLayerCNN,frozen_templates,0.8338671874999999,0.88046875,0.994140625,0.998828125,0.99921875,6.4,0.02390102818608284
single_shape,TwoLayerCNN,random,0.8056640625,0.8984375,0.9953125,1.0,1.0,6.1,0.0016703607165254653
single_shape,TwoLayerCNN,random_unitnorm,0.8591015625,0.93828125,0.99765625,0.99921875,0.999609375,5.4,0.0016577441478148104
single_shape,TwoLayerCNN,spectrum_init,0.8805859375,0.9375,0.99765625,0.999609375,1.0,5.1,0.0018420029780827462
single_shape,TwoLayerCNN,spectrum_retention_1,0.8796484375,0.93359375,0.996484375,0.99921875,0.99921875,5.1,0.011221557483077049
single_shape,TwoLayerCNN,template_init,0.8788281250000001,0.9328125,0.9984375,0.999609375,0.999609375,4.6,0.0024439913220703604
single_shape,TwoLayerCNN,template_retention_0.1,0.8784765625000001,0.932421875,0.9984375,0.999609375,0.999609375,4.6,0.003883365448564291
single_shape,TwoLayerCNN,template_retention_1,0.8775000000000001,0.9328125,0.9984375,0.9984375,0.998828125,4.6,0.013503409363329411
two_concepts,TinyCNN,frozen_random_unitnorm,0.2702734375,0.25859375,0.2875,0.35234375,0.4609375,,0.012873828411102295
two_concepts,TinyCNN,frozen_spectrum,0.266953125,0.26796875,0.2890625,0.364453125,0.47109375,,0.016844189167022704
two_concepts,TinyCNN,frozen_templates,0.28054687500000003,0.27890625,0.33515625,0.409375,0.540234375,,0.03290797472000122
two_concepts,TinyCNN,random,0.6374609375,0.6515625,0.834765625,0.925,0.986328125,23.9,0.08464146852493286
two_concepts,TinyCNN,random_unitnorm,0.5851953125,0.559375,0.786328125,0.9109375,0.97578125,28.2,0.10463362783193589
two_concepts,TinyCNN,spectrum_init,0.5038671875,0.4671875,0.702734375,0.865234375,0.975390625,32.1,0.16679577082395552
two_concepts,TinyCNN,spectrum_retention_1,0.5005859375,0.476953125,0.67421875,0.783984375,0.874609375,,0.1093283474445343
two_concepts,TinyCNN,template_init,0.5315234375,0.443359375,0.779296875,0.914453125,0.97421875,24.0,0.1618615210056305
two_concepts,TinyCNN,template_retention_0.1,0.5321875,0.449609375,0.771484375,0.908203125,0.964453125,24.25,0.14365739822387696
two_concepts,TinyCNN,template_retention_1,0.5210546875000001,0.477734375,0.709375,0.817578125,0.91171875,31.666666666666668,0.10153334736824035
two_concepts,TwoLayerCNN,frozen_random_unitnorm,0.7133203124999999,0.72421875,0.9,0.962109375,0.99296875,17.3,0.062481121718883516
two_concepts,TwoLayerCNN,frozen_spectrum,0.63828125,0.655859375,0.80625,0.89765625,0.96875,30.0,0.08568262457847595
two_concepts,TwoLayerCNN,frozen_templates,0.675078125,0.699609375,0.836328125,0.92421875,0.96953125,21.5,0.07665064781904221
two_concepts,TwoLayerCNN,random,0.6987890625000001,0.717578125,0.896875,0.981640625,0.994140625,15.2,0.012188502494245768
two_concepts,TwoLayerCNN,random_unitnorm,0.754375,0.7875,0.921484375,0.987890625,0.994140625,12.7,0.009561597742140293
two_concepts,TwoLayerCNN,spectrum_init,0.7023828125,0.73515625,0.8703125,0.978515625,0.99375,15.9,0.01608143150806427
two_concepts,TwoLayerCNN,spectrum_retention_1,0.6994140625,0.734765625,0.86171875,0.9515625,0.979296875,19.7,0.03712032660841942
two_concepts,TwoLayerCNN,template_init,0.7265625,0.775390625,0.87265625,0.9640625,0.990625,16.6,0.02385232802480459
two_concepts,TwoLayerCNN,template_retention_0.1,0.7259375,0.77734375,0.871875,0.964453125,0.987890625,17.2,0.024119935184717178
two_concepts,TwoLayerCNN,template_retention_1,0.7247265625,0.776953125,0.880859375,0.955859375,0.98359375,18.3,0.048497123271226884
