task,architecture,block,condition,concept_z_mean_square,nuisance_z_mean_square,concept_to_nuisance_response_ratio
single_shape,TwoLayerCNN,8,template_retention_0.1,0.35638466477394104,0.006524350494146347,54.62377674125412
two_concepts,TwoLayerCNN,0,frozen_spectrum,0.03948715329170227,0.007997114211320877,4.937675297397085
two_concepts,TwoLayerCNN,9,template_retention_1,0.08360797166824341,0.008977595716714859,9.312957979671397
two_concepts,TwoLayerCNN,6,spectrum_init,0.2195657193660736,0.041720710694789886,5.262751178241389
single_shape,TwoLayerCNN,2,spectrum_retention_1,0.24223379790782928,0.004811059683561325,50.3493645559015
single_shape,TwoLayerCNN,6,random_unitnorm,0.7323751449584961,0.013966826722025871,52.43676029885376
two_concepts,TwoLayerCNN,3,template_init,0.2415355145931244,0.02735963836312294,8.828169122245464
two_concepts,TwoLayerCNN,5,frozen_spectrum,0.06111273169517517,0.006863384507596493,8.904168435781898
single_shape,TinyCNN,9,random,2.1448726654052734,0.02000114880502224,107.23747352285591
single_shape,TwoLayerCNN,0,random,0.5940746068954468,0.008965777233242989,66.26024620517651
two_concepts,TwoLayerCNN,1,frozen_random_unitnorm,0.012019870802760124,0.007628175429999828,1.5757202902661083
two_concepts,TinyCNN,0,random,1.1125364303588867,0.061052802950143814,18.222528313194605
single_shape,TinyCNN,7,frozen_random_unitnorm,0.06378244608640671,0.004327323753386736,14.739467098223937
single_shape,TinyCNN,7,spectrum_retention_1,0.5889551639556885,0.007068128325045109,83.32547696803874
two_concepts,TwoLayerCNN,5,template_retention_0.1,0.18475407361984253,0.014315028674900532,12.906301329579858
single_shape,TwoLayerCNN,3,random_unitnorm,0.6648728251457214,0.014957492239773273,44.45082200195075
single_shape,TwoLayerCNN,2,spectrum_init,1.101206660270691,0.015539905056357384,70.86315239874563
single_shape,TinyCNN,9,template_init,2.641568422317505,0.0244502741843462,108.03839672312209
two_concepts,TinyCNN,5,spectrum_retention_1,0.2111128568649292,0.015025876462459564,14.049952919044062
single_shape,TinyCNN,1,spectrum_init,2.595608949661255,0.026622349396348,97.4973662548849
single_shape,TinyCNN,8,random_unitnorm,2.210660219192505,0.026436174288392067,83.62254670726657
single_shape,TwoLayerCNN,7,template_init,0.800593912601471,0.010091539472341537,79.33317952089517
single_shape,TwoLayerCNN,1,frozen_templates,0.15974582731723785,0.0033655271399766207,47.465321381525854
single_shape,TinyCNN,4,template_init,2.806344747543335,0.027440540492534637,102.27002446642105
two_concepts,TwoLayerCNN,1,template_retention_1,0.09105780720710754,0.008604954928159714,10.582020239190433
single_shape,TinyCNN,3,template_retention_0.1,1.8401784896850586,0.02102612517774105,87.51866899532835
two_concepts,TwoLayerCNN,1,spectrum_retention_1,0.0405358225107193,0.007151717785745859,5.667984073911801
two_concepts,TinyCNN,1,template_init,1.0533338785171509,0.05797305703163147,18.169369228578493
two_concepts,TinyCNN,9,spectrum_init,1.0705223083496094,0.07387854903936386,14.490299583160672
single_shape,TinyCNN,7,random_unitnorm,2.3027777671813965,0.02694733440876007,85.4547515628413
two_concepts,TinyCNN,5,frozen_spectrum,0.06111273169517517,0.006863384507596493,8.904168435781898
single_shape,TinyCNN,7,template_retention_1,0.6405158638954163,0.006389782764017582,100.24063220150717
two_concepts,TinyCNN,5,template_retention_1,0.15822726488113403,0.012498801574110985,12.659394898217545
single_shape,TwoLayerCNN,9,frozen_random_unitnorm,0.07133548706769943,0.003671701531857252,19.428454750137572
two_concepts,TinyCNN,4,spectrum_init,1.065432071685791,0.054327674210071564,19.61122185290007
