task,architecture,treatment,reference,metric,n,mean,sd,lo,hi,p
single_shape,TinyCNN,template_retention_1,template_init,id_acc,10,-0.00234375,0.00273127304210977,-0.004297585032813005,-0.00038991496718699444,0.02385638454012202
single_shape,TinyCNN,template_retention_1,template_init,alignment,10,0.267772938945739,0.0252991130098247,0.24967504373878144,0.28587083415269654,9.347624741813731e-11
single_shape,TinyCNN,template_retention_1,template_init,semantic_auc,10,-0.025048828124999988,0.005410864254466305,-0.028919527236797908,-0.02117812901320207,1.3933989651899977e-07
single_shape,TinyCNN,template_retention_1,template_init,localization_iou,10,0.12284878361794496,0.048543498875268744,0.08812285645668425,0.15757471077920568,2.2073901178616617e-05
single_shape,TinyCNN,template_retention_1,template_init,fidelity_selected,10,0.12353721335270587,0.046335612195808076,0.09039071317523703,0.1566837135301747,1.4519124706514688e-05
single_shape,TinyCNN,template_retention_1,template_init,fidelity_random,10,0.0890338870247242,0.0123393037515193,0.08020688087098704,0.09786089317846136,2.831619236390255e-09
single_shape,TinyCNN,template_retention_1,template_init,causal_usefulness,10,0.03450332632798166,0.04572673682121841,0.001792389354611762,0.06721426330135155,0.04081673549403917
single_shape,TinyCNN,template_retention_1,template_init,cf_accuracy,10,0.12499999701976776,0.04527223365513526,0.092614192025049,0.15738580201448651,1.0933317261214377e-05
single_shape,TinyCNN,template_retention_1,template_init,cf_accuracy_random,10,0.03549804657814093,0.017043441348068702,0.023305903107992763,0.047690190048289095,0.00010084412862698893
single_shape,TinyCNN,template_retention_1,template_init,refit_test_acc,10,0.000390625,0.0012352647110032732,-0.0004930301417398823,0.0012742801417398824,0.34343639613791355
single_shape,TinyCNN,template_retention_1,template_init,nuisance_acc,10,-0.001953125,0.0037961926398732424,-0.004668757621395431,0.0007625076213954311,0.1381847553511833
single_shape,TinyCNN,template_retention_1,template_init,nuisance_prediction_stability,10,-0.001953125,0.0027621358640099515,-0.003929037965597589,2.2787965597588673e-05,0.052177242798819065
single_shape,TinyCNN,template_retention_1,template_init,nuisance_probability_l2,10,0.0008339799387613311,0.0002982397426003064,0.0006206320792520171,0.0010473277982706451,9.859605134053442e-06
single_shape,TinyCNN,template_retention_1,template_init,drift_l2,10,-1.2809798657894134,0.03894903799266754,-1.3088423290990703,-1.2531174024797564,3.564372199449313e-15
single_shape,TinyCNN,template_retention_1,template_init,selected_kernel_alignment,10,0.2592040118100303,0.03846621223274425,0.23168694124212352,0.28672108237793703,5.187227240210114e-09
single_shape,TinyCNN,template_retention_1,template_init,best_semantic_kernel_alignment,10,0.2615712831855276,0.04031947080018822,0.23272847130281774,0.29041409506823745,7.254312562906313e-09
single_shape,TinyCNN,template_retention_1,template_init,input_effect_mean_square,10,-0.8939096530278524,0.04478845589441821,-0.9259493842604787,-0.8618699217952261,3.1747777811223596e-13
single_shape,TinyCNN,template_retention_1,template_init,counterfactual_agreement,10,0.12526041269302368,0.04558654950229158,0.09264975968638009,0.15787106569966727,1.1371945416594405e-05
single_shape,TinyCNN,template_retention_0.1,template_init,id_acc,10,0.0,0.0,0.0,0.0,1.0
single_shape,TinyCNN,template_retention_0.1,template_init,alignment,10,0.10793759332461003,0.020641705006314393,0.09317140709696894,0.12270377955225112,4.8247751988425344e-08
single_shape,TinyCNN,template_retention_0.1,template_init,semantic_auc,10,-0.0057454427083333485,0.003273259727290408,-0.008086991659344052,-0.003403893757322645,0.00035613610674204875
single_shape,TinyCNN,template_retention_0.1,template_init,localization_iou,10,0.07235292435224534,0.026420161524452854,0.05345307934840057,0.09125276935609011,1.1686060886317858e-05
single_shape,TinyCNN,template_retention_0.1,template_init,fidelity_selected,10,0.04658076547108221,0.018856329397848533,0.03309176001474031,0.06006977092742411,2.6758949399982198e-05
