regime,seed,run_dir,val_max,t98,t100,delta_t_final_minus_fast,id_acc,ood_rot_acc,ood_thick_acc,ood_occ_acc,align_mean_best,run_probes,auc_10,auc_20,auc_50
frozen_templates,0,runs/v4_lowdata/frozen_templates/seed00,0.51171875,inf,inf,inf,0.5255681872367859,0.5566761374473572,0.3198863625526428,0.5555397748947144,1.0,1,1.951171875,4.119140625,13.71484375
frozen_templates,1,runs/v4_lowdata/frozen_templates/seed01,0.736328125,inf,inf,inf,0.6796875,0.5251420438289642,0.315625,0.7267045497894287,1.0,1,2.0625,4.4794921875,11.365234375
frozen_templates,2,runs/v4_lowdata/frozen_templates/seed02,0.755859375,inf,inf,inf,0.76875,0.5389204502105713,0.25553977191448213,0.7643465876579285,1.0,1,2.220703125,4.3857421875,14.4716796875
frozen_templates,3,runs/v4_lowdata/frozen_templates/seed03,0.546875,inf,inf,inf,0.5015625,0.4869318187236786,0.40795454382896423,0.49602272510528567,1.0,1,2.0390625,4.3701171875,17.0087890625
frozen_templates,4,runs/v4_lowdata/frozen_templates/seed04,0.384765625,inf,inf,inf,0.41946022510528563,0.29360795617103574,0.3214488625526428,0.4015625,1.0,1,1.845703125,3.8984375,11.9541015625
random,0,runs/v4_lowdata/random/seed00,1.0,53.0,69.0,16.0,0.9946022748947143,0.5438920497894287,0.5876420497894287,0.996875,0.2789718508720398,1,1.9765625,8.28125,31.4130859375
random,1,runs/v4_lowdata/random/seed01,0.986328125,96.0,inf,inf,0.9921875,0.5170454502105712,0.4542613625526428,0.99375,0.3212433457374573,1,2.056640625,4.66015625,26.6533203125
random,2,runs/v4_lowdata/random/seed02,0.998046875,47.0,inf,inf,0.9977272748947144,0.6088068127632141,0.6154829502105713,1.0,0.2919406592845917,1,3.4541015625,8.1669921875,34.1123046875
random,3,runs/v4_lowdata/random/seed03,1.0,38.0,53.0,15.0,1.0,0.5203125,0.7582386374473572,1.0,0.29223087430000305,1,2.1806640625,7.6025390625,35.77734375
random,4,runs/v4_lowdata/random/seed04,1.0,53.0,65.0,12.0,1.0,0.5720170497894287,0.5484375,1.0,0.30470287799835205,1,1.845703125,4.736328125,26.7177734375
template_init,0,runs/v4_lowdata/template_init/seed00,0.998046875,69.0,inf,inf,0.9984375,0.5556818127632142,0.5650568127632141,0.996875,0.7945293188095093,1,1.951171875,7.056640625,32.34765625
template_init,1,runs/v4_lowdata/template_init/seed01,0.99609375,48.0,inf,inf,1.0,0.5450284123420716,0.7657670497894287,0.9984375,0.7784104347229004,1,2.1474609375,8.9951171875,36.9462890625
template_init,2,runs/v4_lowdata/template_init/seed02,0.998046875,62.0,inf,inf,0.9930397748947144,0.5830965876579285,0.6644886374473572,0.990625,0.7513446807861328,1,3.03125,10.517578125,35.8828125
template_init,3,runs/v4_lowdata/template_init/seed03,1.0,52.0,88.0,36.0,1.0,0.6011363625526428,0.8116477251052856,1.0,0.8171079158782959,1,2.0390625,5.58984375,30.505859375
template_init,4,runs/v4_lowdata/template_init/seed04,1.0,46.0,54.0,8.0,1.0,0.6288352251052857,0.5234375,0.9961647748947143,0.8037534952163696,1,2.083984375,7.15625,33.5751953125
