,,id_acc,id_acc,ood_rot_acc,ood_rot_acc,ood_thick_acc,ood_thick_acc,ood_occ_acc,ood_occ_acc,align_mean_best,align_mean_best,specificity,specificity,patch_single_success,patch_single_success,patch_single_shift,patch_single_shift,patch_topk_success_at_maxk_repo,patch_topk_success_at_maxk_repo,patch_topk_mean_shift,patch_topk_mean_shift,drift_cosine,drift_cosine,drift_l2,drift_l2,init_kernel_norm,init_kernel_norm,initial_alignment,initial_alignment,val_final_repo,val_final_repo,val_max_repo,val_max_repo,t98,t98,t100,t100,auc_10,auc_10,auc_20,auc_20,auc_50,auc_50,val_acc_sample,val_acc_sample,val_majority_baseline,val_majority_baseline,test_acc_sample,test_acc_sample,test_majority_baseline,test_majority_baseline,ood_rot_acc_sample,ood_rot_acc_sample,ood_rot_majority_baseline,ood_rot_majority_baseline,ood_thick_acc_sample,ood_thick_acc_sample,ood_thick_majority_baseline,ood_thick_majority_baseline,ood_occ_acc_sample,ood_occ_acc_sample,ood_occ_majority_baseline,ood_occ_majority_baseline,patch_val_rank_k8,patch_val_rank_k8,patch_random_rank_k8,patch_random_rank_k8,patch_val_rank_k8_source_prediction,patch_val_rank_k8_source_prediction,patch_val_rank_k8_source_prediction_both_correct,patch_val_rank_k8_source_prediction_both_correct
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
suite,regime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
controls,frozen_random_unitnorm,0.30349431931972504,0.10610028180542114,0.24474431872367858,0.06750261027836654,0.2551136362552643,0.011006002868386417,0.32818181812763214,0.10560526101509411,0.15792689621448516,0.026222923312893085,0.18730073273181916,0.030023616031957537,0.5890937328338623,0.03690470684428738,0.014378130622208118,0.0074801586832681675,0.6664999961853028,0.06437573108854933,0.06712260991334915,0.03498406435996864,1.0,0.0,0.0,0.0,1.0,0.0,0.15792689621448516,0.026222923312893085,0.3,0.08647514700655147,0.30859375,0.08620342379185121,inf,,inf,,2.0533203125,0.19708618463089508,4.34296875,0.4220452989247509,10.698828125,2.496892008049131,0.3175,0.08251893722049501,0.2705,0.039741351260368596,0.30433333333333334,0.10729372975362746,0.233,0.01082692117927447,0.24500000000000002,0.06739188873051909,0.2376666666666667,0.01656636485305223,0.255,0.01034139470499237,0.24666666666666667,0.015229722402080884,0.329,0.107300201925874,0.25166666666666665,0.013794121131039045,0.6598333239555358,0.07172332950266831,0.7749249988794327,0.08976674608525063,0.36350000500679014,0.06539782279934923,0.4772517755627632,0.12979322454388867
controls,random_unitnorm,0.9953409099578858,0.006808852964925663,0.5442045438289642,0.042882247681936776,0.5790056824684143,0.11404566840018979,0.9962784099578859,0.005193309005324525,0.27098373174667356,0.013444834779552136,0.9147779464721679,0.03643245562422208,0.7622187733650208,0.027931880524125846,0.30986908078193665,0.04209385586097128,0.9128333330154419,0.019707945096031066,1.4453423738479614,0.13799465206965897,0.7588967323303223,0.012865274925322802,0.955746865272522,0.046153282972844115,1.0,0.0,0.15792689621448516,0.026222923312893085,0.997265625,0.005093126879064566,0.997265625,0.005093126879064566,61.4,18.95521036549054,inf,,2.207421875,0.49548042411127635,6.7458984375,1.625502494000458,30.9607421875,4.614916991606296,0.9964999999999999,0.006519202405202655,0.2705,0.039741351260368596,0.9953333333333333,0.007011894655987554,0.233,0.01082692117927447,0.5436666666666666,0.04292111627418633,0.2376666666666667,0.01656636485305223,0.577,0.11299213345283035,0.24666666666666667,0.015229722402080884,0.9963333333333333,0.004915960401250877,0.25166666666666665,0.013794121131039045,0.9128333330154419,0.019707945096031066,0.9906833386421203,0.004792717488307934,0.4981666624546051,0.01494666131493781,0.49839805364608764,0.014927262325064515
v3_seed0,frozen_templates,0.8016826957464218,,0.6274038478732109,,0.42315204441547394,,0.7982271611690521,,1.0,,0.5691508054733276,,0.5724166631698608,,0.07322937250137329,,0.6386666893959045,,0.23679998517036438,,1.0,,0.0,,1.0,,1.0,,0.802584134042263,,0.8511117771267891,,inf,,inf,,6.299278847873211,,,,,,0.802,,0.283,,0.802,,0.257,,0.627,,0.251,,0.422,,0.226,,0.798,,0.256,,0.6386666893959045,,0.863466665148735,,0.4699999988079071,,0.4707985818386078,
v3_seed0,random,1.0,,0.5981069728732109,,0.613131009042263,,1.0,,0.3001297116279602,,2.2832326889038086,,0.7709167003631592,,0.743810772895813,,0.8859999775886536,,3.5132813453674316,,0.4171146750450134,,1.583620548248291,,0.5875756144523621,,0.13005107641220093,,1.0,,1.0,,2.0,,4.0,,8.923039361834526,,,,,,1.0,,0.283,,1.0,,0.257,,0.597,,0.251,,0.614,,0.226,,1.0,,0.256,,0.8859999775886536,,0.9946000039577484,,0.492000013589859,,0.492000013589859,
v3_seed0,template_init,1.0,,0.5910456702113152,,0.7875600978732109,,1.0,,0.6417468190193176,,1.7789416313171387,,0.7438333630561829,,0.6520159244537354,,0.8973333239555359,,2.9503328800201416,,0.6304051876068115,,1.740429162979126,,1.0,,1.0,,1.0,,1.0,,3.0,,4.0,,8.943584732711315,,,,,,1.0,,0.283,,1.0,,0.257,,0.59,,0.251,,0.788,,0.226,,1.0,,0.256,,0.8973333239555359,,0.9929333329200745,,0.445333331823349,,0.445333331823349,
v4_lowdata,frozen_templates,0.5790056824684143,0.14181634231433546,0.4802556812763214,0.10744576640903507,0.3240909081697464,0.0543799086931414,0.5888352274894715,0.15379044980368695,1.0,0.0,0.3775038421154022,0.021275129729457977,0.5616041779518127,0.009947340071933316,0.026247910037636758,0.004027954102707957,0.6245000004768372,0.012070383861107207,0.10913583487272263,0.016733864423146554,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.58203125,0.15387600829152795,0.587109375,0.1573120642903432,inf,,inf,,2.023828125,0.1391894500417675,4.2505859375,0.23782314602536153,13.7029296875,2.238472911358105,0.5875,0.14881826164822645,0.2705,0.039741351260368596,0.5803333333333334,0.14230932662494208,0.233,0.01082692117927447,0.48166666666666663,0.10734808387256435,0.2376666666666667,0.01656636485305223,0.3243333333333333,0.05566017926269692,0.24666666666666667,0.015229722402080884,0.5906666666666667,0.15565542429067838,0.25166666666666665,0.013794121131039045,0.612666666507721,0.019697363303543818,0.7651083356142043,0.028819612131157257,0.43383333683013914,0.04224843450622058,0.47580342888832095,0.05071840821901236
v4_lowdata,random,0.9969034099578857,0.003442075047185215,0.5524147725105285,0.03846587169575987,0.5928125,0.11076105828746666,0.9981249999999999,0.0027950849718746994,0.29781792163848875,0.015945883578268528,0.9075355052947998,0.043257440656490495,0.776354169845581,0.015582353132765377,0.3321218192577362,0.030890876198752443,0.9171666741371155,0.01570783412076052,1.4980814456939697,0.10989202989322398,0.5909969329833984,0.017719596809778346,0.9707305908203125,0.03165196372068609,0.5777680039405823,0.006132744119343512,0.15792688429355622,0.026222927555647646,0.996875,0.00595623073514724,0.996875,0.00595623073514724,57.4,22.434348664492134,inf,,2.302734375,0.6550525457839524,6.689453125,1.8359880156364832,30.934765625,4.180009114378707,0.9960000000000001,0.0076239753409884465,0.2705,0.039741351260368596,0.9969999999999999,0.0036132472314464605,0.233,0.01082692117927447,0.5516666666666666,0.03872983346207416,0.2376666666666667,0.01656636485305223,0.5906666666666667,0.10975098075998126,0.24666666666666667,0.015229722402080884,0.998,0.0029814239699997086,0.25166666666666665,0.013794121131039045,0.9171666741371155,0.01570783412076052,0.9923000049591064,0.0033476772524814505,0.5013333261013031,0.0251840310112496,0.5003409504890441,0.025846498316674342
v4_lowdata,template_init,0.9982954549789429,0.003014911736775849,0.5827556800842285,0.033976577219940775,0.6660795450210572,0.12417987969827848,0.9964204549789428,0.0035616321774341996,0.7890291690826416,0.025339453557137293,0.8380292415618896,0.09864873719987395,0.748520839214325,0.013595673831333036,0.26550601720809935,0.053080932424271476,0.8893333196640014,0.011462488311208463,1.1980862140655517,0.1745185358081403,0.7859613060951233,0.026622695066758382,0.9170265674591065,0.07481638356436057,1.0,0.0,1.0,0.0,0.9984375,0.0016341016143243613,0.9984375,0.0016341016143243613,55.4,9.787747442593725,inf,,2.2505859375,0.44221549333046206,7.8630859375,1.9134670530283249,33.8515625,2.609365406132953,0.998,0.0020916500663351843,0.2705,0.039741351260368596,0.9983333333333333,0.00288675134594815,0.233,0.01082692117927447,0.5826666666666667,0.03461293913488935,0.2376666666666667,0.01656636485305223,0.6653333333333333,0.1279832888396849,0.24666666666666667,0.015229722402080884,0.9963333333333333,0.0038005847503304714,0.25166666666666665,0.013794121131039045,0.8893333196640014,0.011462488311208463,0.9857916748523712,0.004241515452561653,0.5051666676998139,0.025272132644635365,0.5051782548427581,0.02530669193962943
